Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,John Henson (12103454),John Henson,12103454,C/UTIL,3000,PHO@CLE 02/21/2019 07:00PM ET,CLE,16.02
PF/C,Channing Frye (12103456),Channing Frye,12103456,PF/C/F/UTIL,3000,PHO@CLE 02/21/2019 07:00PM ET,CLE,6.89
SG/SF,J.R. Smith (12103460),J.R. Smith,12103460,SG/SF/F/G/UTIL,3000,PHO@CLE 02/21/2019 07:00PM ET,CLE,14.23
PF/C,Christian Wood (12103465),Christian Wood,12103465,PF/C/F/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,MIL,5.75
PF/C,Bonzie Colson (12103469),Bonzie Colson,12103469,PF/C/F/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,MIL,0
PG/SF,Donte DiVincenzo (12103473),Donte DiVincenzo,12103473,PG/SF/F/G/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,MIL,11.13
PG,Trevon Duval (12103478),Trevon Duval,12103478,PG/G/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,MIL,4.88
PG/SG,PJ Dozier (12103481),PJ Dozier,12103481,PG/SG/G/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,BOS,4.17
PF/C,Guerschon Yabusele (12103485),Guerschon Yabusele,12103485,PF/C/F/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,BOS,4.96
SG,R.J. Hunter (12103489),R.J. Hunter,12103489,SG/G/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,BOS,0
SF/PF,Semi Ojeleye (12103492),Semi Ojeleye,12103492,SF/PF/F/UTIL,3000,BOS@MIL 02/21/2019 08:00PM ET,BOS,6.62
PF/C,Skal Labissiere (12103496),Skal Labissiere,12103496,PF/C/F/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,POR,6.05
SG,Gary Trent Jr. (12103500),Gary Trent Jr.,12103500,SG/G/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,POR,2.94
PG/SG,Anfernee Simons (12103503),Anfernee Simons,12103503,PG/SG/G/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,POR,2.19
C,Alan Williams (12103507),Alan Williams,12103507,C/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,BKN,10
SF/PF,Jared Dudley (12103509),Jared Dudley,12103509,SF/PF/F/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,BKN,12.69
SG/SF,Dzanan Musa (12103513),Dzanan Musa,12103513,SG/SF/F/G/UTIL,3000,POR@BKN 02/21/2019 07:30PM ET,BKN,3.06
SF/PF,Wenyen Gabriel (12103518),Wenyen Gabriel,12103518,SF/PF/F/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,0
PF/C,Caleb Swanigan (12103522),Caleb Swanigan,12103522,PF/C/F/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,6.25
SF/PF,Troy Williams (12103526),Troy Williams,12103526,SF/PF/F/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,12.54
PG/SG,Frank Mason III (12103530),Frank Mason III,12103530,PG/SG/G/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,10.76
SG/SF,Corey Brewer (12103534),Corey Brewer,12103534,SG/SF/F/G/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,16.46
C,Kosta Koufos (12103539),Kosta Koufos,12103539,C/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,SAC,11.83
C,Damian Jones (12103541),Damian Jones,12103541,C/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,GS,13.82
SG/SF,Damion Lee (12103543),Damion Lee,12103543,SG/SF/F/G/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,GS,8.89
PG,Shaun Livingston (12103548),Shaun Livingston,12103548,PG/G/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,GS,11.48
SG/SF,Jacob Evans III (12103551),Jacob Evans III,12103551,SG/SF/F/G/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,GS,2.26
SF,Marcus Derrickson (12103556),Marcus Derrickson,12103556,SF/F/UTIL,3000,SAC@GS 02/21/2019 10:30PM ET,GS,4.72
SG/SF,Zhaire Smith (12103559),Zhaire Smith,12103559,SG/SF/F/G/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,PHI,0
SG/SF,Haywood Highsmith (12103564),Haywood Highsmith,12103564,SG/SF/F/G/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,PHI,3.88
C,Justin Patton (12103569),Justin Patton,12103569,C/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,PHI,0
PG/SG,Shake Milton (12103571),Shake Milton,12103571,PG/SG/G/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,PHI,8.92
SG/SF,Jonathon Simmons (12103575),Jonathon Simmons,12103575,SG/SF/F/G/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,PHI,14.16
PF/C,Ryan Anderson (12103580),Ryan Anderson,12103580,PF/C/F/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,MIA,9.05
PF,Udonis Haslem (12103584),Udonis Haslem,12103584,PF/F/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,MIA,3.08
SG/SF,Duncan Robinson (12103587),Duncan Robinson,12103587,SG/SF/F/G/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,MIA,3.29
PF,Yante Maten (12103592),Yante Maten,12103592,PF/F/UTIL,3000,MIA@PHI 02/21/2019 07:00PM ET,MIA,0
