,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181118,4523,PG,Damian Lillard,1,58.0,"$9,300",por,A,was,119,109,38.05,40pt 6rb 5as 1st 1to 3trey 12-29fg 13-15ft
1,20181118,4615,PG/SG,Trey Burke,,40.75,"$3,500",nyk,A,orl,117,131,29.18,31pt 3rb 2as 2st 3to 1trey 11-20fg 8-10ft
2,20181118,4321,PG,John Wall,1,39.25,"$9,100",was,H,por,109,119,31.27,24pt 3rb 3as 3bl 1to 3trey 10-21fg 1-5ft
3,20181118,4657,PG/SG,C.J. McCollum,1,35.25,"$6,400",por,A,was,119,109,39.17,25pt 7rb 3trey 9-16fg 4-4ft
4,20181118,4863,PG,Quinn Cook,,31.0,"$5,200",gsw,A,sas,92,104,28.88,16pt 8rb 2as 1st 1to 1trey 7-12fg 1-2ft
5,20181118,4756,PG/SG,Tyler Johnson,,31.0,"$4,300",mia,H,lal,97,113,34.92,17pt 6rb 3as 1st 2to 2trey 6-16fg 3-4ft
6,20181118,4367,SG,Klay Thompson,1,30.0,"$7,200",gsw,A,sas,92,104,37.95,25pt 2rb 2as 4to 3trey 11-26fg 0-1ft
7,20181118,4078,PG,D.J. Augustin,1,26.25,"$4,200",orl,H,nyk,131,117,27.65,12pt 3rb 7as 2to 2trey 3-4fg 4-5ft
8,20181118,4494,SG,Bradley Beal,1,26.0,"$7,700",was,H,por,109,119,26.43,12pt 4rb 3as 1st 1bl 1to 2trey 4-13fg 2-2ft
9,20181118,4980,PG/SG,Tomas Satoransky,,25.5,"$3,000",was,H,por,109,119,18.73,10pt 2rb 7as 1st 1trey 4-5fg 1-2ft
10,20181118,4245,PG/SG,Patty Mills,,24.25,"$3,800",sas,H,gsw,104,92,24.52,8pt 5rb 5as 1st 1to 2trey 3-8fg
11,20181118,5215,PG,Lonzo Ball,1,19.5,"$5,600",lal,A,mia,113,97,21.75,2pt 6rb 7as 1to 1-6fg
12,20181118,4995,PG/SG,Bryn Forbes,1,19.25,"$4,000",sas,H,gsw,104,92,24.65,10pt 3rb 3as 2trey 4-12fg
13,20181118,4787,PG/SF,Justise Winslow,1,16.5,"$5,100",mia,H,lal,97,113,24.62,6pt 6rb 2as 1to 1trey 1-5fg 3-4ft
14,20181118,5238,SG,Josh Hart,,16.0,"$4,100",lal,A,mia,113,97,29.03,5pt 6rb 1as 1bl 1to 1trey 2-7fg
15,20181118,4483,PG/SG,Austin Rivers,,15.75,"$3,300",was,H,por,109,119,28.62,8pt 3rb 1as 1bl 1to 2trey 3-8fg
16,20181118,4773,PG,Emmanuel Mudiay,1,15.25,"$4,400",nyk,A,orl,117,131,22.67,12pt 1rb 2as 2to 5-8fg 2-4ft
17,20181118,5701,PG,Allonzo Trier,1,10.0,"$4,500",nyk,A,orl,117,131,12.68,7pt 2rb 1trey 2-5fg 2-2ft
18,20181118,3651,PG,Shaun Livingston,,9.75,"$3,000",gsw,A,sas,92,104,17.12,2pt 1rb 2as 1st 1bl 1to 1-2fg
19,20181118,5219,PG,Frank Ntilikina,,7.5,"$3,600",nyk,A,orl,117,131,21.52,0pt 2rb 2as 1st 0-1fg
20,20181118,5152,SG,Wes Iwundu,1,7.5,"$3,200",orl,H,nyk,131,117,15.33,2pt 2rb 2as 2-2ft
21,20181118,5148,PG,Derrick White,,6.75,"$4,600",sas,H,gsw,104,92,17.82,2pt 1rb 1as 1st 1-5fg
22,20181118,4911,SG,Damion Lee,,3.75,"$3,000",gsw,A,sas,92,104,18.25,0pt 3rb 0-2fg
23,20181118,5181,PG,Isaiah Briscoe,,2.75,"$3,000",orl,H,nyk,131,117,16.33,0pt 1rb 1as
24,20181118,5222,SG,Damyean Dotson,,2.5,"$3,600",nyk,A,orl,117,131,13.65,3pt 1to 1-3fg 1-2ft
25,20181118,5662,SG,Anfernee Simons,,2.0,"$3,000",por,A,was,119,109, 5.43,0pt 2rb 1to 0-2fg
26,20181118,4873,PG,Jerian Grant,,0.75,"$3,300",orl,H,nyk,131,117, 4.02,0pt 1rb 1to 0-1fg
27,20181118,5673,SG,Jacob Evans III,,0.0,"$3,000",gsw,A,sas,92,104, 0.48,0pt 0-1fg
28,20181118,5692,SG,Sviatoslav Mykhailiuk,,0.0,"$3,000",lal,A,mia,113,97, 3.25,0pt
29,20181118,5006,PG/SG,Ron Baker,,0.0,"$3,000",nyk,A,orl,117,131,DNP,
30,20181118,5663,SG,Gary Trent Jr.,,0.0,"$3,000",por,A,was,119,109,DNP,
31,20181118,5143,SG,Devin Robinson,,0.0,"$3,000",was,H,por,109,119,NA,
32,20181118,4564,PG/SG,Seth Curry,,0.0,"$3,000",por,A,was,119,109,NA,
33,20181118,4173,PG/SG,Stephen Curry,,0.0,"$9,500",gsw,A,sas,92,104,NA,
34,20181118,4963,PG,Dejounte Murray,,0.0,"$3,000",sas,H,gsw,104,92,NA,
35,20181118,4092,PG,Goran Dragic,,0.0,"$6,100",mia,H,lal,97,113,NA,0pt
36,20181118,3571,PG/SG,Dwyane Wade,,0.0,"$4,800",mia,H,lal,97,113,NA,
37,20181118,5218,SG,Alex Caruso,,0.0,"$3,000",lal,A,mia,113,97,NA,
38,20181118,5756,SG,Lonnie Walker,,0.0,"$3,000",sas,H,gsw,104,92,NA,
39,20181118,3872,PG,Rajon Rondo,,0.0,"$5,000",lal,A,mia,113,97,NA,
40,20181118,4832,PG/SG,Jordan McRae,,0.0,"$3,000",was,H,por,109,119,NA,
41,20181118,5150,SG,Troy Caupain,,0.0,"$3,000",orl,H,nyk,131,117,NA,
42,20181118,4909,PG,Wade Baldwin,,-0.5,"$3,000",por,A,was,119,109, 2.03,0pt 1to
43,20181118,3541,SF/PF,LeBron James,1,73.5,"$11,000",lal,A,mia,113,97,38.47,51pt 8rb 3as 2st 1bl 2to 6trey 19-31fg 7-10ft
44,20181118,3986,SF/PF,Kevin Durant,1,54.0,"$10,700",gsw,A,sas,92,104,37.40,26pt 10rb 6as 2st 1bl 3to 1trey 8-25fg 9-10ft
45,20181118,4628,SG/SF,Tim Hardaway Jr.,1,45.5,"$7,300",nyk,A,orl,117,131,35.95,32pt 2rb 2as 3st 1to 5trey 9-20fg 9-10ft
46,20181118,4211,SG/SF,DeMar DeRozan,1,40.0,"$8,600",sas,H,gsw,104,92,39.58,20pt 6rb 9as 2to 8-19fg 4-6ft
47,20181118,4705,SF/PF,Aaron Gordon,1,37.25,"$7,600",orl,H,nyk,131,117,29.43,31pt 1rb 2as 1st 4to 4trey 13-17fg 1-2ft
48,20181118,4828,SG/SF,Kelly Oubre,,37.0,"$4,400",was,H,por,109,119,29.48,19pt 4rb 4as 1st 2bl 2trey 7-14fg 3-4ft
49,20181118,4468,SG/SF,Evan Fournier,1,36.5,"$5,400",orl,H,nyk,131,117,29.57,19pt 4rb 6as 1st 1bl 3to 2trey 7-10fg 3-4ft
50,20181118,3857,SF/PF,Rudy Gay,1,33.25,"$5,500",sas,H,gsw,104,92,30.40,19pt 5rb 1as 3bl 2to 3trey 6-10fg 4-5ft
51,20181118,4788,SG/SF,Josh Richardson,1,33.0,"$6,700",mia,H,lal,97,113,24.77,17pt 6rb 3as 1st 1bl 7-11fg 3-3ft
52,20181118,5137,PF,Jonathan Isaac,,32.0,"$3,500",orl,H,nyk,131,117,24.02,16pt 4rb 3as 2st 1bl 1trey 6-9fg 3-4ft
53,20181118,4616,SG/SF,Kentavious Caldwell-Pope,,29.0,"$3,300",lal,A,mia,113,97,28.00,19pt 4rb 1st 1bl 1to 3trey 4-11fg 8-8ft
54,20181118,4650,SG/SF,Rodney McGruder,1,28.25,"$4,700",mia,H,lal,97,113,38.07,14pt 7rb 4as 3to 2trey 6-14fg
55,20181118,3992,SF/PF,Jeff Green,,26.75,"$4,200",was,H,por,109,119,25.23,7pt 13rb 1as 1st 3-10fg 1-1ft
56,20181118,4318,SG/SF,Evan Turner,,25.5,"$4,200",por,A,was,119,109,31.47,8pt 8rb 6as 3to 3-8fg 2-2ft
57,20181118,4185,SG/SF,Wayne Ellington,1,25.0,"$3,800",mia,H,lal,97,113,37.98,19pt 2rb 1as 1to 5trey 7-14fg
58,20181118,4965,SG/SF,Brandon Ingram,1,24.75,"$5,700",lal,A,mia,113,97,35.88,13pt 7rb 1as 1bl 1to 6-15fg 1-1ft
59,20181118,4261,SF/PF,Al-Farouq Aminu,1,23.0,"$4,800",por,A,was,119,109,36.33,9pt 8rb 1as 1st 1to 2trey 3-7fg 1-2ft
60,20181118,4187,SF/PF,Jonas Jerebko,1,23.0,"$3,900",gsw,A,sas,92,104,25.65,8pt 10rb 2as 1to 3-3fg 2-2ft
61,20181118,4653,SF/PF,Otto Porter,1,22.5,"$4,900",was,H,por,109,119,28.25,13pt 4rb 2as 1bl 2to 1trey 5-8fg 2-4ft
62,20181118,5216,SF/PF,Kyle Kuzma,1,19.75,"$5,300",lal,A,mia,113,97,21.08,15pt 1rb 1as 1st 1to 1trey 7-12fg
63,20181118,4549,SG/SF,Terrence Ross,,19.0,"$5,200",orl,H,nyk,131,117,22.72,10pt 4rb 1as 1bl 1to 2trey 4-13fg
64,20181118,4997,PF,Jake Layman,1,18.5,"$3,100",por,A,was,119,109,26.17,7pt 2rb 2as 2st 1bl 1to 1trey 3-7fg
65,20181118,4890,SG/SF,Jonathon Simmons,,17.75,"$3,300",orl,H,nyk,131,117,22.93,9pt 3rb 2as 1st 3-9fg 3-3ft
66,20181118,5155,PF,Zach Collins,,15.25,"$3,500",por,A,was,119,109,12.95,7pt 3rb 3as 1bl 4to 2-3fg 3-3ft
67,20181118,3974,SG/SF,Marco Belinelli,,14.0,"$3,500",sas,H,gsw,104,92,24.92,12pt 1as 1to 2trey 5-15fg
68,20181118,3641,SG/SF,Andre Iguodala,1,13.75,"$3,700",gsw,A,sas,92,104,26.32,4pt 1rb 3as 2st 1-3fg 2-2ft
69,20181118,4168,SF/PF,James Johnson,,12.0,"$4,500",mia,H,lal,97,113,15.25,8pt 2as 2trey 2-8fg 2-2ft
70,20181118,4226,SF/PF,Dante Cunningham,1,11.25,"$3,400",sas,H,gsw,104,92,27.53,3pt 5rb 1as 1trey 1-4fg
71,20181118,4316,SG/SF,Lance Stephenson,,8.5,"$3,300",lal,A,mia,113,97,14.93,0pt 4rb 1as 1bl 0-4fg
