,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181111,4224,PG/SG, James Harden,1,65.75,"$9,400",hou,H,ind,115,103,37.98,40pt 7rb 9as 1st 1bl 9to 8trey 9-20fg 14-15ft
1,20181111,4627,PG/SG, Victor Oladipo,1,50.5,"$9,400",ind,A,hou,103,115,39.85,22pt 10rb 7as 2st 3to 3trey 7-24fg 5-6ft
2,20181111,3786,PG, Chris Paul,1,47.25,"$7,100",hou,H,ind,115,103,35.07,26pt 5rb 5as 3st 2to 5trey 8-13fg 5-7ft
3,20181111,5708,PG, Trae Young,1,46,"$7,000",atl,A,lal,106,107,35.13,20pt 2rb 12as 1st 1bl 4to 4trey 8-18fg
4,20181111,4523,PG, Damian Lillard,1,43.75,"$8,300",por,H,bos,100,94,35.25,19pt 5rb 12as 4to 2trey 7-15fg 3-3ft
5,20181111,4379,PG, Kyrie Irving,1,42.5,"$7,600",bos,A,por,94,100,32.38,21pt 2rb 6as 5st 3to 3trey 9-24fg
6,20181111,5013,PG/SG, Malcolm Brogdon,1,39.5,"$4,900",mil,A,den,121,114,33.18,20pt 6rb 5as 2st 2to 3trey 7-13fg 3-3ft
7,20181111,5215,PG, Lonzo Ball,1,35.5,"$5,000",lal,H,atl,107,106,27.08,8pt 6rb 11as 1st 1bl 3to 2trey 2-5fg 2-2ft
8,20181111,4266,PG/SG, Eric Bledsoe,1,34.5,"$6,000",mil,A,den,121,114,30.03,12pt 8rb 3as 3st 1bl 1to 1trey 4-10fg 3-3ft
9,20181111,5701,PG, Allonzo Trier,,27.25,"$4,500",nyk,H,orl,89,115,21.90,9pt 5rb 4as 1st 3bl 4to 3-8fg 3-3ft
10,20181111,4873,PG, Jerian Grant,,26.5,"$3,600",orl,A,nyk,115,89,28.23,9pt 2rb 8as 1st 1to 3trey 3-6fg
11,20181111,5191,PG, Monte Morris,,26.25,"$3,700",den,H,mil,114,121,27.80,5pt 3rb 10as 1bl 1trey 2-6fg
12,20181111,4678,SG, Gary Harris,1,26,"$5,600",den,H,mil,114,121,30.12,15pt 4rb 3st 2to 2trey 5-14fg 3-5ft
13,20181111,4954,PG/SG, Jamal Murray,1,25.75,"$6,900",den,H,mil,114,121,34.33,14pt 5rb 2as 2st 3to 7-16fg
14,20181111,4228,PG, Darren Collison,1,23.75,"$4,400",ind,A,hou,103,115,34.73,13pt 3rb 3as 1bl 2to 3trey 5-10fg 0-1ft
15,20181111,4078,PG, D.J. Augustin,1,21.5,"$4,800",orl,A,nyk,115,89,23.70,9pt 2rb 2as 3st 1to 3trey 3-7fg
16,20181111,5152,SG, Wes Iwundu,1,21.5,"$3,000",orl,A,nyk,115,89,31.63,7pt 8rb 2as 1bl 2to 1trey 3-8fg
17,20181111,4657,PG/SG, C.J. McCollum,1,20,"$6,200",por,H,bos,100,94,34.82,14pt 2rb 1as 1bl 1to 1trey 6-15fg 1-1ft
18,20181111,4615,PG/SG, Trey Burke,,18.25,"$3,300",nyk,H,orl,89,115,19.77,10pt 1rb 5as 1to 5-13fg
19,20181111,4999,SG, Malik Beasley,,17.5,"$3,200",den,H,mil,114,121,21.90,10pt 4rb 1st 1to 2trey 4-8fg
20,20181111,4316,PG/SG, Lance Stephenson,,17.25,"$3,400",lal,H,atl,107,106,15.47,11pt 1rb 1st 1bl 1to 3trey 3-7fg 2-2ft
21,20181111,3872,PG, Rajon Rondo,,16.5,"$5,500",lal,H,atl,107,106,16.38,2pt 6rb 5as 1to 1-4fg
22,20181111,4077,PG/SG, Eric Gordon,,16,"$5,500",hou,H,ind,115,103,31.05,9pt 4rb 1bl 2to 2trey 3-14fg 1-2ft
23,20181111,5238,SG, Josh Hart,,15.25,"$4,400",lal,H,atl,107,106,22.70,9pt 1rb 2as 1st 2to 2trey 3-9fg 1-2ft
24,20181111,4405,PG, Cory Joseph,,14.25,"$3,700",ind,A,hou,103,115,26.93,5pt 3rb 2as 1st 1trey 2-4fg
25,20181111,4965,PG/SF, Brandon Ingram,1,14.25,"$6,000",lal,H,atl,107,106,28.55,10pt 3rb 1as 1bl 6to 3-8fg 4-6ft
26,20181111,4677,PG/SG, Marcus Smart,,13,"$4,100",bos,A,por,94,100,21.77,0pt 4rb 4as 1bl 0-3fg
27,20181111,4564,PG/SG, Seth Curry,,12.5,"$3,100",por,H,bos,100,94,19.67,9pt 2as 2to 3trey 3-5fg
28,20181111,4297,PG/SG, Jeremy Lin,,9.25,"$3,900",atl,A,lal,106,107,14.93,6pt 1rb 2as 2to 2-7fg 2-2ft
29,20181111,4823,PG/SG, Terry Rozier,,9,"$4,500",bos,A,por,94,100,18.68,7pt 1as 1trey 3-7fg
30,20181111,5006,PG/SG, Ron Baker,,7.25,"$3,000",nyk,H,orl,89,115, 5.23,2pt 3rb 1as 2-2ft
31,20181111,2448,SG, Vince Carter,,7.25,"$3,200",atl,A,lal,106,107,21.13,4pt 1rb 1bl 2-6fg
32,20181111,5740,SG, Donte DiVincenzo,,6.25,"$3,400",mil,A,den,121,114,12.90,2pt 1rb 2as 1-3fg
