,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181126,4224,PG/SG,James Harden,1,89.0,"$11,400",hou,A,was,131,135,47.35,54pt 8rb 13as 3st 11to 7trey 17-32fg 13-15ft
1,20181126,4321,PG,John Wall,1,59.75,"$9,000",was,H,hou,135,131,40.13,36pt 3rb 11as 2bl 6to 2trey 13-23fg 8-11ft
2,20181126,4379,PG,Kyrie Irving,1,46.5,"$8,700",bos,A,nor,99,91,26.68,19pt 4rb 9as 5st 6to 4trey 7-18fg 1-1ft
3,20181126,4706,PG/SG,Zach LaVine,1,45.5,"$7,700",chi,H,sas,104,108,33.67,28pt 8rb 6as 6to 3trey 10-24fg 5-6ft
4,20181126,4494,SG,Bradley Beal,1,44.25,"$7,400",was,H,hou,135,131,49.63,32pt 1rb 4as 2bl 2to 4trey 12-18fg 4-5ft
5,20181126,4440,PG,Kemba Walker,1,40.0,"$9,400",cha,H,mil,110,107,37.97,21pt 6rb 5as 2st 2to 2trey 3-12fg 13-16ft
6,20181126,5013,PG/SG,Malcolm Brogdon,1,33.5,"$5,300",mil,A,cha,107,110,36.53,11pt 8rb 6as 2st 2to 1trey 4-16fg 2-2ft
7,20181126,4212,PG/SG,Jrue Holiday,1,32.0,"$8,300",nor,H,bos,91,99,32.83,11pt 6rb 6as 3st 1bl 8to 1trey 4-8fg 2-2ft
8,20181126,4221,PG,Jeff Teague,1,31.0,"$6,100",min,A,cle,102,95,36.20,13pt 2rb 6as 1st 3bl 3to 5-12fg 3-5ft
9,20181126,4962,PG,Ryan Arcidiacono,1,28.75,"$3,600",chi,H,sas,104,108,34.60,19pt 3rb 2as 1st 1to 3trey 7-10fg 2-2ft
10,20181126,4266,PG/SG,Eric Bledsoe,1,28.25,"$7,200",mil,A,cha,107,110,35.55,17pt 1rb 4as 2st 4to 4trey 6-13fg 1-1ft
11,20181126,3313,PG,Tony Parker,,27.25,"$3,500",cha,H,mil,110,107,21.30,15pt 1rb 6as 1st 1to 1trey 7-14fg 0-2ft
12,20181126,4995,PG/SG,Bryn Forbes,1,25.5,"$3,800",sas,A,chi,108,104,26.90,13pt 2rb 6as 1to 3trey 5-10fg
13,20181126,4245,PG/SG,Patty Mills,,24.25,"$3,800",sas,A,chi,108,104,21.73,17pt 1rb 2as 1st 2trey 7-10fg 1-1ft
14,20181126,5721,PG,Collin Sexton,1,23.75,"$5,800",cle,H,min,95,102,38.95,11pt 7rb 4as 4to 5-19fg 1-1ft
15,20181126,5148,PG,Derrick White,,21.5,"$3,500",sas,A,chi,108,104,23.88,8pt 6rb 1as 2st 1to 2trey 3-8fg
16,20181126,4073,PG/SG,Derrick Rose,,21.25,"$6,700",min,A,cle,102,95,29.18,12pt 1rb 4as 1bl 6-13fg
17,20181126,4823,PG/SG,Terry Rozier,,19.0,"$3,900",bos,A,nor,99,91,16.80,14pt 2rb 1as 2trey 6-12fg
18,20181126,5249,PG,Shaquille Harrison,,18.5,"$3,300",chi,H,sas,104,108,17.53,0pt 4rb 5as 1st 2bl 0-4fg
19,20181126,4228,PG,Darren Collison,1,18.25,"$4,600",ind,A,uta,53,43,13.75,4pt 1rb 6as 2st 2-4fg
20,20181126,4677,PG/SG,Marcus Smart,1,16.75,"$4,100",bos,A,nor,99,91,33.00,8pt 1rb 2as 1st 1bl 1to 2trey 3-8fg
21,20181126,4980,PG/SG,Tomas Satoransky,,16.5,"$3,500",was,H,hou,135,131,19.42,4pt 2rb 7as 1to 1-2fg 2-2ft
22,20181126,4405,PG,Cory Joseph,,13.75,"$4,500",ind,A,uta,53,43,13.27,8pt 1rb 1st 1bl 1to 2trey 3-4fg
23,20181126,4483,PG/SG,Austin Rivers,,13.25,"$3,600",was,H,hou,135,131,16.88,6pt 5rb 1as 1to 2-5fg 2-3ft
24,20181126,5740,SG,Donte DiVincenzo,,13.0,"$3,000",mil,A,cha,107,110,10.85,8pt 2rb 1as 2trey 3-3fg
25,20181126,5133,SG,Malik Monk,,12.25,"$3,300",cha,H,mil,110,107,20.73,7pt 1rb 1as 1st 1trey 2-7fg 2-2ft
26,20181126,4414,PG,Ricky Rubio,1,11.75,"$6,500",uta,H,ind,43,53,13.23,3pt 3rb 4as 2to 1-5fg 1-1ft
27,20181126,5686,SG,Chandler Hutchison,,9.0,"$3,100",chi,H,sas,104,108,18.63,4pt 4rb 2-2fg
28,20181126,4668,PG/SG,Jordan Clarkson,,8.5,"$5,400",cle,H,min,95,102,21.60,4pt 2rb 2as 2to 1-5fg 2-2ft
29,20181126,4441,SG,Alec Burks,,8.25,"$4,000",uta,H,ind,43,53,11.45,5pt 1rb 1as 1trey 2-5fg
30,20181126,4876,PG,Tyus Jones,,7.0,"$3,300",min,A,cle,102,95,11.80,3pt 1as 1st 1trey 1-1fg
31,20181126,5747,PG,Aaron Holiday,,5.5,"$3,600",ind,A,uta,53,43, 8.45,4pt 1as 2-4fg
32,20181126,4807,PG,Raul Neto,,5.0,"$3,000",uta,H,ind,43,53, 6.90,4pt 1as 1to 2-3fg
33,20181126,4948,PG,Andrew Harrison,,3.5,"$3,200",cle,H,min,95,102, 9.05,2pt 1as 0-1fg 2-2ft
34,20181126,4707,PG/SG,Dante Exum,,3.5,"$3,400",uta,H,ind,43,53, 5.87,0pt 2rb 1as 1to 0-3fg
35,20181126,5228,PG,Antonio Blakeney,,3.25,"$3,400",chi,H,sas,104,108, 2.77,2pt 1rb 1-2fg
36,20181126,5184,SG,Sterling Brown,,2.75,"$3,200",mil,A,cha,107,110, 6.52,2pt 1rb 1to 1-1fg 0-1ft
37,20181126,4717,PG/SG,Tim Frazier,,2.0,"$3,000",nor,H,bos,91,99, 2.08,0pt 2rb 1to
38,20181126,5677,SG,Grayson Allen,,2.0,"$3,200",uta,H,ind,43,53, 4.88,2pt 0-1fg 2-2ft
39,20181126,4882,PG/SG,Cameron Payne,,2.0,"$3,100",chi,H,sas,104,108, 8.92,2pt 1-3fg
40,20181126,4610,PG/SG,Matthew Dellavedova,,1.5,"$3,100",mil,A,cha,107,110, 5.58,0pt 1as 0-1fg
41,20181126,5168,PG,Frank Jackson,,1.0,"$3,000",nor,H,bos,91,99, 6.38,0pt 1as 1to
42,20181126,4078,PG,D.J. Augustin,1,0.0,"$3,800",orl,A,gsw,,,DNP,0pt
43,20181126,5673,SG,Jacob Evans III,,0.0,"$3,000",gsw,H,orl,,,DNP,
44,20181126,5250,SG,Jaylen Morris,,0.0,"$3,000",mil,A,cha,107,110,DNP,
45,20181126,4863,PG,Quinn Cook,1,0.0,"$5,100",gsw,H,orl,,,DNP,0pt
46,20181126,5179,SG,Dwayne Bacon,,0.0,"$3,100",cha,H,mil,110,107,DNP,
47,20181126,4367,SG,Klay Thompson,1,0.0,"$7,300",gsw,H,orl,,,DNP,0pt
48,20181126,3786,PG,Chris Paul,,0.0,"$8,000",hou,A,was,131,135,DNP,
49,20181126,5181,PG,Isaiah Briscoe,,0.0,"$3,000",orl,A,gsw,,,DNP,
50,20181126,5152,SG,Wes Iwundu,,0.0,"$3,000",orl,A,gsw,,,DNP,
51,20181126,4873,PG,Jerian Grant,,0.0,"$3,100",orl,A,gsw,,,DNP,
52,20181126,5658,PG,Devonte' Graham,,0.0,"$3,000",cha,H,mil,110,107,DNP,
53,20181126,3651,PG,Shaun Livingston,,0.0,"$3,000",gsw,H,orl,,,DNP,
54,20181126,4102,PG/SG,George Hill,,0.0,"$3,800",cle,H,min,95,102,DNP,
55,20181126,5144,PG,Edmond Sumner,,0.0,"$3,000",ind,A,uta,53,43,DNP,
56,20181126,5674,SG,Josh Okogie,,0.0,"$3,300",min,A,cle,102,95,DNP,
57,20181126,4911,SG,Damion Lee,,0.0,"$3,000",gsw,H,orl,,,DNP,
58,20181126,5659,PG/SG,Brad Wanamaker,,0.0,"$3,000",bos,A,nor,99,91,DNP,
59,20181126,5684,PG,Joe Chealey,,0.0,"$3,000",cha,H,mil,110,107,NA,
60,20181126,4699,PG,Elfrid Payton,,0.0,"$5,500",nor,H,bos,91,99,NA,
61,20181126,5143,SG,Devin Robinson,,0.0,"$3,000",was,H,hou,135,131,NA,
62,20181126,4173,PG/SG,Stephen Curry,,0.0,"$9,500",gsw,H,orl,,,NA,
63,20181126,5136,PG/SG,Donovan Mitchell,,0.0,"$7,100",uta,H,ind,43,53,NA,
64,20181126,4963,PG,Dejounte Murray,,0.0,"$3,000",sas,A,chi,108,104,NA,
65,20181126,5177,PG,PJ Dozier,,0.0,"$3,000",bos,A,nor,99,91,NA,
66,20181126,5214,SG,Davon Reed,,0.0,"$3,000",ind,A,uta,53,43,NA,
67,20181126,4950,PG,Tyler Ulis,,0.0,"$3,000",chi,H,sas,104,108,NA,
68,20181126,5741,PG,Rawle Alkins,,0.0,"$3,000",chi,H,sas,104,108,NA,
69,20181126,5683,SG,J.P. Macura,,0.0,"$3,000",cha,H,mil,110,107,NA,
70,20181126,5745,PG,Jared Terrell,,0.0,"$3,000",min,A,cle,102,95,NA,
71,20181126,4627,PG/SG,Victor Oladipo,,0.0,"$8,500",ind,A,uta,53,43,NA,
