,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181113,4224,PG/SG,James Harden,1,53.25,"$10,500",hou,A,den,109,99,36.82,22pt 5rb 11as 3st 1bl 4to 2trey 7-16fg 6-8ft
1,20181113,4367,SG,Klay Thompson,1,43.25,"$6,800",gsw,H,atl,110,103,38.27,24pt 5rb 4as 3st 1to 3trey 8-19fg 5-5ft
2,20181113,3786,PG,Chris Paul,1,37.25,"$8,300",hou,A,den,109,99,32.27,21pt 5rb 4as 2st 3to 3trey 7-12fg 4-5ft
3,20181113,4668,PG/SG,Jordan Clarkson,,33.75,"$5,700",cle,H,cha,113,89,27.53,24pt 5rb 2as 1bl 4to 1trey 9-15fg 5-5ft
4,20181113,4863,PG,Quinn Cook,1,32.0,"$5,500",gsw,H,atl,110,103,33.53,18pt 4rb 6as 2to 2trey 8-18fg
5,20181113,5191,PG,Monte Morris,,31.0,"$3,700",den,H,hou,99,109,31.02,19pt 2rb 6as 2to 3trey 7-11fg 2-2ft
6,20181113,5721,PG,Collin Sexton,1,29.25,"$5,100",cle,H,cha,113,89,32.67,16pt 5rb 4as 1st 4to 2trey 7-18fg
7,20181113,5708,PG,Trae Young,1,28.25,"$7,200",atl,A,gsw,103,110,27.50,4pt 5rb 9as 3st 3to 2-12fg
8,20181113,4678,SG,Gary Harris,1,27.5,"$6,000",den,H,hou,99,109,36.35,15pt 2rb 1as 4st 2to 3trey 6-13fg
9,20181113,4440,PG,Kemba Walker,1,27.0,"$9,700",cha,A,cle,89,113,35.85,7pt 4rb 6as 2st 1bl 1to 1trey 2-16fg 2-5ft
10,20181113,4954,PG/SG,Jamal Murray,1,24.25,"$6,600",den,H,hou,99,109,34.55,15pt 1rb 5as 1st 3to 7-13fg 1-1ft
11,20181113,2448,SG,Vince Carter,,24.0,"$3,100",atl,A,gsw,103,110,17.38,11pt 6rb 3as 1to 3trey 4-7fg
12,20181113,4297,PG/SG,Jeremy Lin,,21.75,"$3,800",atl,A,gsw,103,110,20.50,10pt 3rb 4as 1st 2to 2trey 4-9fg
13,20181113,3313,PG,Tony Parker,,17.5,"$4,300",cha,A,cle,89,113,15.78,9pt 4rb 1as 1bl 4-10fg 1-2ft
14,20181113,4077,PG/SG,Eric Gordon,,16.0,"$5,300",hou,A,den,109,99,33.17,11pt 2as 1bl 2to 2trey 3-9fg 3-5ft
15,20181113,5133,SG,Malik Monk,,13.0,"$4,700",cha,A,cle,89,113,23.32,6pt 2rb 2as 1st 1to 3-13fg
16,20181113,5179,SG,Dwayne Bacon,,8.75,"$3,000",cha,A,cle,89,113,16.38,5pt 3rb 1to 1trey 2-4fg
17,20181113,4948,PG,Andrew Harrison,,7.0,"$3,000",cle,H,cha,113,89,12.80,2pt 2rb 2as 1to 0-3fg 2-2ft
18,20181113,3651,PG,Shaun Livingston,,6.25,"$3,000",gsw,H,atl,110,103,15.85,2pt 1rb 2as 1-6fg
19,20181113,5754,SG,Kevin Huerter,,5.5,"$3,300",atl,A,gsw,103,110,13.72,2pt 2rb 1st 2to 1-4fg
20,20181113,4999,SG,Malik Beasley,,4.75,"$3,200",den,H,hou,99,109, 6.48,0pt 1rb 1as 1bl 0-1fg
21,20181113,5658,PG,Devonte' Graham,,1.5,"$3,000",cha,A,cle,89,113, 6.58,0pt 1as 0-2fg
22,20181113,5673,SG,Jacob Evans III,,0.0,"$3,000",gsw,H,atl,110,103,DNP,
23,20181113,5696,PG,DeVaughn Akoon-Purcell,,0.0,"$3,000",den,H,hou,99,109,DNP,
24,20181113,5158,PG,Tyler Dorsey,,0.0,"$3,000",atl,A,gsw,103,110,DNP,
25,20181113,4575,PG,Michael Carter-Williams,,0.0,"$3,300",hou,A,den,109,99,DNP,
26,20181113,4911,SG,Damion Lee,,0.0,"$3,000",gsw,H,atl,110,103,DNP,
27,20181113,5224,SG,Daniel Hamilton,,0.0,"$3,000",atl,A,gsw,103,110,DNP,
28,20181113,5684,PG,Joe Chealey,,0.0,"$3,000",cha,A,cle,89,113,NA,
29,20181113,5683,SG,J.P. Macura,,0.0,"$3,000",cha,A,cle,89,113,NA,
30,20181113,4173,PG/SG,Stephen Curry,,0.0,"$9,900",gsw,H,atl,110,103,NA,
31,20181113,4102,PG/SG,George Hill,,0.0,"$4,000",cle,H,cha,113,89,NA,
32,20181113,4420,PG,Isaiah Thomas,,0.0,"$4,900",den,H,hou,99,109,NA,
33,20181113,5709,PG,Jaylen Adams,,0.0,"$3,000",atl,A,gsw,103,110,NA,
34,20181113,4382,PG/SG,Brandon Knight,,0.0,"$3,000",hou,A,den,109,99,NA,
35,20181113,3986,SF/PF,Kevin Durant,1,45.0,"$11,200",gsw,H,atl,110,103,36.52,29pt 6rb 3as 2st 1bl 4to 9-23fg 11-11ft
36,20181113,4514,SG/SF,Jeremy Lamb,1,37.5,"$5,000",cha,A,cle,89,113,31.95,22pt 6rb 2as 3st 3to 1trey 8-16fg 5-5ft
37,20181113,4187,SF/PF,Jonas Jerebko,1,36.75,"$3,300",gsw,H,atl,110,103,24.65,14pt 13rb 2as 4trey 5-10fg
