,Date,GID,Pos,Name,Starter,DK Pts,DK Salary,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
0,20181120,4321,PG,John Wall,1,57.0,"$9,000",was,H,lac,125,118,40.87,30pt 4rb 8as 2st 2bl 1to 5trey 9-24fg 7-10ft
1,20181120,4523,PG,Damian Lillard,1,52.0,"$9,700",por,A,nyk,118,114,36.20,29pt 6rb 8as 2st 4to 3trey 9-22fg 8-10ft
2,20181120,4799,PG/SG,D'Angelo Russell,1,49.75,"$7,300",bkn,A,mia,104,92,32.07,20pt 9rb 6as 4st 1bl 3to 2trey 9-22fg
3,20181120,4657,PG/SG,C.J. McCollum,1,43.0,"$6,800",por,A,nyk,118,114,38.47,31pt 4rb 2as 1bl 1to 5trey 13-23fg
4,20181120,4494,SG,Bradley Beal,1,42.25,"$7,800",was,H,lac,125,118,41.12,27pt 3rb 7as 1bl 2to 8-17fg 11-14ft
5,20181120,4980,PG/SG,Tomas Satoransky,,34.25,"$3,200",was,H,lac,125,118,24.13,13pt 7rb 3as 3st 1bl 1to 1trey 4-7fg 4-4ft
6,20181120,5690,PG,Shai Gilgeous-Alexander,1,32.75,"$5,000",lac,A,was,118,125,28.90,17pt 3rb 3as 3st 1bl 2to 1trey 6-11fg 4-5ft
7,20181120,4760,PG/SG,Spencer Dinwiddie,,31.0,"$5,500",bkn,A,mia,104,92,30.33,16pt 2rb 7as 1st 2to 2trey 5-12fg 4-4ft
8,20181120,4615,PG/SG,Trey Burke,,27.75,"$4,200",nyk,H,por,114,118,25.73,19pt 3rb 3as 2to 3trey 8-15fg
9,20181120,3891,PG,Kyle Lowry,1,26.5,"$7,700",tor,A,orl,93,91,32.42,9pt 4rb 7as 1st 3to 3trey 3-9fg
10,20181120,3816,PG/SG,Louis Williams,,24.5,"$6,200",lac,A,was,118,125,22.78,17pt 2rb 3as 1st 4to 1trey 7-15fg 2-2ft
11,20181120,4773,PG,Emmanuel Mudiay,1,24.5,"$4,400",nyk,H,por,114,118,24.27,16pt 2rb 4as 2to 2trey 6-9fg 2-2ft
12,20181120,4234,PG/SG,Patrick Beverley,,22.25,"$4,600",lac,A,was,118,125,20.80,6pt 5rb 5as 1bl 1to 2trey 2-5fg
13,20181120,4185,PG/SG,Wayne Ellington,1,18.25,"$4,400",mia,H,bkn,92,104,32.78,9pt 1rb 2as 1st 1bl 2trey 2-8fg 3-3ft
14,20181120,4629,PG,Lorenzo Brown,,17.75,"$3,000",tor,A,orl,93,91,19.55,8pt 3rb 2as 1bl 2trey 2-5fg 2-2ft
15,20181120,4078,PG,D.J. Augustin,1,15.5,"$4,300",orl,H,tor,91,93,26.12,5pt 2rb 5as 1trey 2-6fg
16,20181120,5152,SG,Wes Iwundu,1,15.5,"$3,100",orl,H,tor,91,93,22.65,7pt 2rb 3as 1st 1to 2-3fg 3-4ft
17,20181120,4934,PG/SG,Fred VanVleet,,15.5,"$4,900",tor,A,orl,93,91,26.35,4pt 2rb 5as 1st 1to 1-5fg 2-2ft
18,20181120,4787,PG/SF,Justise Winslow,,14.5,"$4,500",mia,H,bkn,92,104,16.92,10pt 2rb 1as 1to 2trey 4-7fg
19,20181120,5219,PG,Frank Ntilikina,,13.5,"$3,400",nyk,H,por,114,118,27.53,7pt 4rb 1as 1to 1trey 3-7fg
20,20181120,4873,PG,Jerian Grant,,13.0,"$3,200",orl,H,tor,91,93,21.88,2pt 2rb 5as 1st 2to 1-4fg
21,20181120,3571,PG/SG,Dwyane Wade,,12.0,"$4,800",mia,H,bkn,92,104,13.93,5pt 2rb 2as 1bl 1to 2-8fg 1-2ft
22,20181120,4791,PG/SG,Delon Wright,,9.25,"$3,600",tor,A,orl,93,91,13.25,4pt 1rb 2as 1bl 2to 2-5fg
23,20181120,4694,PG/SG,Shabazz Napier,,8.75,"$3,300",bkn,A,mia,104,92, 9.28,6pt 1rb 1as 3-5fg
24,20181120,5701,PG,Allonzo Trier,,8.0,"$4,000",nyk,H,por,114,118,14.63,9pt 3to 1trey 3-5fg 2-2ft
25,20181120,4483,PG/SG,Austin Rivers,,5.5,"$3,300",was,H,lac,125,118,13.65,2pt 1as 1st 0-5fg 2-2ft
26,20181120,4269,SG,Avery Bradley,1,3.75,"$3,500",lac,A,was,118,125,31.90,4pt 1rb 3to 2-3fg
27,20181120,5231,PG/SG,Tyrone Wallace,,3.25,"$3,000",lac,A,was,118,125, 5.75,2pt 1rb 1-1fg 0-1ft
28,20181120,5234,SG,Sindarius Thornwell,,2.0,"$3,000",lac,A,was,118,125, 0.53,2pt 2-2ft
29,20181120,4909,PG,Wade Baldwin,,0.0,"$3,000",por,A,nyk,118,114, 6.70,0pt
30,20181120,5006,PG/SG,Ron Baker,,0.0,"$3,000",nyk,H,por,114,118,DNP,
31,20181120,5233,PG,Milos Teodosic,,0.0,"$3,000",lac,A,was,118,125,DNP,
