Name,DFS Guru,Last 5 Games Avg,RotoQL,Season Avg
LeBron James,57.53610823,55.2,56.15605689,53.9
Anthony Davis,59.59845861,63.45,57.3143046,59.0
Giannis Antetokounmpo,57.12195687,55.45,58.95589473,54.7
James Harden,56.66493273,52.05,55.04175003,51.3
Joel Embiid,58.14834215,57.7,60.31850518,55.7
Russell Westbrook,55.65223792,54.25,55.83396445,52.8
Kevin Durant,51.5745782,48.4,52.27976337,48.6
Kemba Walker,43.48703495,52.65,45.15203793,47.9
Nikola Jokic,46.93875539,43.4,46.23224009,45.2
Blake Griffin,43.57430449,39.9,43.75451879,47.9
Stephen Curry,0.0,0.0,0.0,0.0
Kawhi Leonard,0.0,0.0,0.0,0.0
Andre Drummond,45.30158307,52.4,44.6397218,47.3
Damian Lillard,45.8574384,48.85,45.58714813,45.1
Victor Oladipo,0.0,0.0,0.0,0.0
Kyrie Irving,40.75518506,48.65,41.43633269,42.2
Paul George,41.21504905,53.6,43.20849898,47.4
Karl-Anthony Towns,48.07499615,50.95,48.90425981,43.8
Devin Booker,43.01062047,38.8,41.6949962,41.0
Ben Simmons,47.6948993,38.3,48.04847023,42.0
DeMar DeRozan,40.01143212,40.75,40.74539797,44.2
Chris Paul,44.99610207,39.45,44.04666759,40.8
Kyle Lowry,43.57266283,28.8,44.48693236,39.5
Jrue Holiday,42.9801142,46.1,42.93501944,43.0
Kevin Love,0.0,0.0,0.0,0.0
Zach LaVine,40.5998594,36.7,42.31869528,40.7
Rudy Gobert,39.51653299,33.5,40.77887897,39.7
Marc Gasol,37.98404359,45.55,38.514585,40.9
LaMarcus Aldridge,38.47582579,35.8,37.49999267,37.8
Clint Capela,39.66690604,38.35,38.2030099,37.3
Mike Conley,35.2810197,36.95,35.65309765,35.3
Steven Adams,33.54446605,39.05,34.31160516,36.2
Tim Hardaway Jr.,32.6348982,36.9,34.73208029,36.3
Draymond Green,0.0,0.0,0.0,0.0
D'Angelo Russell,35.27208569,42.5,36.3618899,33.9
Donovan Mitchell,38.49056156,28.5,38.83764972,33.8
Jimmy Butler,41.51893179,31.95,40.24725636,38.2
DeAndre Jordan,41.2182809,29.25,41.43310911,34.8
Khris Middleton,36.02226888,35.45,37.32295603,36.1
Julius Randle,32.63028103,37.5,33.44788401,34.8
Deandre Ayton,36.30292572,33.35,36.65428539,35.7
Nikola Mirotic,37.90819129,32.5,39.02205405,39.2
Luka Doncic,38.5784253,34.35,37.91914419,35.5
Jamal Murray,31.12318521,29.0,31.46198292,31.1
Eric Bledsoe,34.66422779,39.0,35.27986468,33.7
Jusuf Nurkic,36.39865188,42.65,36.5275029,36.1
Andrew Wiggins,31.31018245,35.55,31.54697702,30.9
T.J. Warren,35.92971817,37.6,37.07365278,28.9
Pascal Siakam,35.35229244,33.8,37.4744506,29.3
Klay Thompson,34.21386106,34.1,35.30526626,32.0
Trae Young,34.8702608,31.95,35.75537607,34.0
Domantas Sabonis,28.81425858,35.8,30.23454516,32.6
Ricky Rubio,30.94165992,30.2,30.93052233,29.7
CJ McCollum,33.16211345,31.25,33.8709537,32.1
De'Aaron Fox,33.11199742,35.3,35.11347529,37.3
Serge Ibaka,29.80263098,32.55,32.2844942,32.8
Derrick Rose,28.26545382,36.45,29.7536129,32.1
Enes Kanter,33.08556065,31.05,32.25947884,34.1
Jayson Tatum,30.5519371,31.0,31.23034353,30.9
Dennis Schroder,29.59870534,36.55,28.88271037,32.6
Jeff Teague,31.54635776,31.7,30.62560932,29.9
Caris LeVert,0.0,0.0,0.0,0.0
Jabari Parker,32.80232972,27.1,32.24170127,27.4
DeMarcus Cousins,0.0,0.0,0.0,0.0
Brandon Ingram,32.94733955,25.4,31.50516589,26.4
Spencer Dinwiddie,29.15398366,30.95,29.37860115,27.0
Al Horford,31.88761319,28.5,32.36101891,29.1
Paul Millsap,27.15160625,31.75,27.09811834,28.2
Gary Harris,31.24731394,30.8,31.24070311,30.1
Tristan Thompson,25.89042841,33.55,27.16713868,28.5
Taurean Prince,29.65271918,28.7,28.81549333,29.0
JaVale McGee,28.40771101,23.6,27.07567888,29.7
Willie Cauley-Stein,32.55019297,29.0,32.1876187,32.2
Robert Covington,30.73702372,28.15,29.69871491,27.7
Lonzo Ball,29.33559444,22.6,28.07487167,23.8
Buddy Hield,28.17488249,30.05,27.85706947,32.5
Jarrett Allen,28.64503522,37.05,29.80412232,31.0
Jonas Valanciunas,27.95279232,18.95,28.39782599,25.9
Dennis Smith Jr.,29.00059589,26.65,28.71749127,26.5
Larry Nance Jr.,22.591835,24.65,22.0150533,22.5
Jaren Jackson Jr.,27.27548233,32.1,25.89554278,26.4
Gordon Hayward,29.67529749,26.4,29.89815767,24.1
Kris Dunn,0.0,0.0,0.0,0.0
Wendell Carter Jr.,31.20685801,24.15,32.23972885,28.7
Will Barton,0.0,0.0,0.0,0.0
Elfrid Payton,0.0,0.0,0.0,0.0
Kent Bazemore,28.64292035,27.5,27.96537561,27.2
Collin Sexton,25.92273715,27.45,26.44192457,20.5
Tyreke Evans,33.80532152,21.9,32.03815487,21.1
Harrison Barnes,31.83749189,25.35,30.99913673,25.9
Jeremy Lamb,30.25906509,31.75,31.26651776,25.9
Quinn Cook,23.95118639,23.45,25.18617294,17.4
Rudy Gay,28.14692428,25.9,28.60135155,29.2
Reggie Jackson,24.6254753,24.1,23.90616928,25.8
Myles Turner,25.35287714,27.95,24.95027392,25.3
Brook Lopez,27.55715759,30.25,28.13204185,24.0
Joe Ingles,29.23536172,22.45,28.02236645,27.6
JJ Redick,30.1459995,29.1,29.73728589,27.5
Jordan Clarkson,24.96087227,27.05,24.34903976,23.8
Darren Collison,25.76082061,25.3,25.38576378,21.3
Kyle Kuzma,29.19040512,21.85,28.71858052,27.2
Rondae Hollis-Jefferson,20.3361201,21.15,19.37718002,20.4
Trevor Ariza,24.99528501,25.7,25.71382267,25.4
Bobby Portis,0.0,0.0,0.0,0.0
Marcus Morris,24.27758051,19.4,24.87497268,24.9
Lauri Markkanen,0.0,0.0,0.0,0.0
E'Twaun Moore,24.93931729,31.7,25.55521507,24.6
Rajon Rondo,0.0,0.0,0.0,0.0
Malcolm Brogdon,25.17656992,27.35,25.66554065,25.2
Fred VanVleet,28.94648923,18.25,28.08809618,20.1
Wesley Matthews,0.0,0.0,0.0,0.0
Bojan Bogdanovic,22.50096345,29.7,23.09615035,23.5
Nicolas Batum,28.85383999,18.7,28.89948739,24.9
John Collins,27.62006463,28.45,27.02948506,23.4
Eric Gordon,24.83236891,22.75,24.02785668,23.6
Juancho Hernangomez,23.38744013,26.85,21.9508718,18.2
Justin Holiday,25.26773675,25.35,24.59797533,25.2
Marvin Bagley III,25.30032097,22.45,25.39047989,23.5
Danny Green,26.27736873,18.45,26.16506136,21.2
Al-Farouq Aminu,24.13079912,24.1,24.59286313,23.3
Kyle Anderson,23.23152718,25.65,22.48524289,21.2
Derrick Favors,25.60677197,23.7,26.80997133,24.6
Jae Crowder,22.54593944,17.6,23.31885791,24.4
Jerami Grant,24.7849247,21.7,24.11465217,23.3
Joe Harris,22.44730249,20.4,22.32894814,22.4
Rodney Hood,23.23297182,21.8,23.34409373,21.3
J.J. Barea,20.94766909,24.1,20.2793576,22.1
Taj Gibson,18.23311736,22.3,19.13794433,25.2
Monte Morris,22.9917683,23.15,22.4559914,20.0
Alex Len,0.0,0.0,0.0,0.0
Isaiah Thomas,0.0,0.0,0.0,0.0
Nemanja Bjelica,20.85709978,17.6,23.75597415,25.8
Jaylen Brown,21.4804818,16.7,21.09239554,19.8
P.J. Tucker,22.22895548,17.7,22.34196156,21.2
Cedi Osman,22.64060322,16.35,22.61107753,22.2
Dirk Nowitzki,0.0,0.0,0.0,0.0
Reggie Bullock,19.99802494,21.95,20.43061496,19.3
Dewayne Dedmon,30.38738411,21.75,30.89852207,22.0
Garrett Temple,20.61431802,21.9,19.82558024,21.5
Dario Saric,24.69906828,25.75,22.90484931,23.0
Trey Burke,23.88085698,26.4,22.71606223,21.0
Evan Turner,22.40694134,19.25,23.93223763,23.2
