Name,DFS Guru,Last 5 Games Avg,RotoQL,Season Avg
LeBron James,55.61752518,51.6,55.36516601,52.6
Kevin Durant,48.6281579,49.15,47.21240603,48.3
Stephen Curry,0.0,0.0,0.0,0.0
Damian Lillard,45.53802715,40.45,46.23654627,43.8
John Wall,44.07656074,42.85,43.62929416,42.7
Nikola Vucevic,42.52677306,48.3,44.78970171,43.4
DeMar DeRozan,42.15609157,42.4,43.19273097,45.1
Hassan Whiteside,41.23515651,39.2,43.52345916,40.7
LaMarcus Aldridge,40.04462908,34.9,39.017879,37.6
Bradley Beal,39.10479264,36.8,39.46762153,37.8
Aaron Gordon,35.7055597,38.25,36.47169415,34.5
Draymond Green,0.0,0.0,0.0,0.0
Tim Hardaway Jr.,33.06472696,35.4,34.74020225,35.0
Klay Thompson,32.09030443,34.55,32.97544037,32.1
Jusuf Nurkic,34.29492581,38.45,34.83330307,35.1
Josh Richardson,34.12931018,31.45,33.98539285,34.3
Dwight Howard,35.99439612,31.2,34.03700872,29.9
CJ McCollum,33.32207065,35.7,33.21434902,31.2
Enes Kanter,28.75278998,29.95,28.85470661,33.6
Goran Dragic,0.0,0.0,0.0,0.0
DeMarcus Cousins,0.0,0.0,0.0,0.0
JaVale McGee,29.32722118,24.45,28.35452199,30.6
Brandon Ingram,32.39074592,28.6,30.86624323,26.5
Lonzo Ball,34.27554142,23.25,33.02774223,24.1
Rudy Gay,29.84283971,27.8,30.31769216,29.3
Evan Fournier,28.80066192,26.35,29.52387381,28.6
Kyle Kuzma,30.36313028,23.5,30.0936743,27.7
Terrence Ross,24.31942081,27.3,24.90011898,23.8
Quinn Cook,20.89785081,25.6,21.68056653,16.4
Justise Winslow,27.13538183,20.0,27.00897083,24.4
Rajon Rondo,0.0,0.0,0.0,0.0
Otto Porter Jr.,26.39747199,19.4,25.24750881,23.1
Dwyane Wade,0.0,0.0,0.0,0.0
Al-Farouq Aminu,25.31776454,24.95,25.45903758,23.7
Rodney McGruder,25.16391079,22.05,27.35431904,26.7
