"James Johnson",4100,MIA,SF/PF,BKN,33.61155,10.11171,18.83
"Hassan Whiteside",8000,MIA,C,BKN,60.25812,19.27284,40.66
"Rodney McGruder",4800,MIA,SG/SF,BKN,46.74924,15.94944,25.56
"Wayne Ellington",4400,MIA,PG/SG,BKN,39.2418,15.29424,22.36
"Bam Adebayo",3800,MIA,C,BKN,22.89293,11.67764,13.21
"Kelly Olynyk",3700,MIA,PF/C,BKN,25.99968,12.45076,14.84
"Damian Lillard",9700,POR,PG,NYK,68.66739,22.29282,45.87
"Derrick Jones",3000,MIA,SF,BKN,18.65067,9.33,9.33
"Dwyane Wade",4800,MIA,PG/SG,BKN,28.938,16.536,20.67
"Josh Richardson",7100,MIA,SG/SF,BKN,66.47335,22.2973,38.05
"Justise Winslow",4500,MIA,PG/SF,BKN,55.31536,17.27082,30.46
"Jarrett Allen",5700,BKN,C,MIA,45.71125,16.878,28.13
"Jared Dudley",3300,BKN,SF/PF,MIA,26.0064,10.5084,15.12
"Joe Harris",4600,BKN,SG/SF,MIA,37.03569,14.40876,21.57
"Allen Crabbe",3800,BKN,SG/SF,MIA,41.30643,14.31606,21.89
"Spencer Dinwiddie",5500,BKN,PG/SG,MIA,53.76546,20.90382,29.82
"Rondae Hollis-Jefferson",5300,BKN,PF/C,MIA,36.04197,14.02734,18.03
"Shabazz Napier",3300,BKN,PG/SG,MIA,17.3913,7.0992,8.7
"DeMarre Carroll",3900,BKN,SF/PF,MIA,35.17668,14.20254,17.82
"Ed Davis",3900,BKN,PF/C,MIA,32.34372,12.1064,16.36
"C.J. McCollum",6800,POR,PG/SG,NYK,55.12241,19.59985,34.69
"Jake Layman",3100,POR,PF,NYK,25.17123,10.77762,14.07
"Enes Kanter",6300,NYK,C,POR,56.32056,25.1674,34.01
"Mitchell Robinson",3600,NYK,C,POR,23.98532,5.50188,17.98
"Kevin Knox",4000,NYK,SF,POR,27.0802,6.2118,20.3
"Tim Hardaway Jr.",7200,NYK,SG/SF,POR,61.9965,23.9085,34.5
"Noah Vonleh",3900,NYK,PF/C,POR,30.16491,12.14745,15.09
"Trey Burke",4200,NYK,PG/SG,POR,42.02757,17.81259,21.13
"Mario Hezonja",3400,NYK,SF/PF,POR,23.64817,10.49321,11.83
"Damyean Dotson",3400,NYK,SG,POR,21.68915,9.1574,10.85
"Frank Ntilikina",3400,NYK,PG,POR,22.43043,10.83366,12.51
"Allonzo Trier",4000,NYK,PG,POR,25.35934,5.81706,19.01
"Emmanuel Mudiay",4400,NYK,PG,POR,31.39584,11.34592,20.48
"Evan Turner",4300,POR,SG/SF,NYK,37.7924,17.8048,21.4
"Jusuf Nurkic",7400,POR,C,NYK,63.31416,22.67304,40.56
"Al-Farouq Aminu",4700,POR,SF/PF,NYK,48.98751,20.3775,27.17
"Zach Collins",3400,POR,PF,NYK,31.26332,13.48274,17.33
"Nik Stauskas",3000,POR,SG/SF,NYK,20.73225,8.42214,10.77
