"Derrick Rose",6300,MIN,PG/SG,DEN,52.59088,24.61276,28.52
"Dario Saric",4200,MIN,PF,DEN,43.84948,18.32314,22.51
"Karl-Anthony Towns",8800,MIN,C,DEN,79.10968,28.38172,49.88
"Tyus Jones",3500,MIN,PG,DEN,15.3923,7.4074,7.7
"Gorgui Dieng",3200,MIN,PF/C,DEN,17.33809,7.16628,9.79
"Allen Crabbe",3900,BKN,SG/SF,DAL,40.30632,13.96944,21.36
"D'Angelo Russell",7200,BKN,PG/SG,DAL,64.63155,19.68594,39.53
"Taj Gibson",4400,MIN,PF,DEN,32.25648,11.1333,20.06
"Robert Covington",5600,MIN,SF/PF,DEN,47.33076,18.33923,28.79
"Trey Lyles",3800,DEN,SF/PF,MIN,35.46702,15.91616,19.13
"Monte Morris",4300,DEN,PG,MIN,36.23021,16.10694,20.81
"Malik Beasley",3100,DEN,SG,MIN,26.68665,13.35,13.35
"Mason Plumlee",3300,DEN,PF/C,MIN,30.1849,12.3367,15.1
"Andrew Wiggins",6700,MIN,SG/SF,DEN,49.19808,18.28913,32.03
"Jeff Teague",6100,MIN,PG,DEN,50.56991,15.11422,29.87
"Joe Harris",4400,BKN,SG/SF,DAL,38.95873,15.15692,22.69
"Jared Dudley",3200,BKN,SF/PF,DAL,26.2988,10.62655,15.29
"Luka Doncic",6800,DAL,PG,BKN,49.34466,11.31894,36.99
"Harrison Barnes",5400,DAL,SF/PF,BKN,45.57829,17.78441,30.61
"DeAndre Jordan",7100,DAL,C,BKN,52.632,21.564,36
"J.J. Barea",4400,DAL,PG/SG,BKN,36.55424,15.25888,20.96
"Maxi Kleber",3100,DAL,PF,BKN,21.9736,9.38645,11.35
"Dwight Powell",3400,DAL,PF/C,BKN,25.64064,11.10816,13.92
"Dorian Finney-Smith",3800,DAL,SF,BKN,35.7547,13.03869,21.41
"Dennis Smith Jr.",5600,DAL,PG,BKN,47.49891,16.34178,29.93
"Spencer Dinwiddie",5900,BKN,PG/SG,DAL,54.03591,21.00897,29.97
"Jarrett Allen",5600,BKN,C,DAL,46.42625,17.142,28.57
"Rondae Hollis-Jefferson",5100,BKN,PF/C,DAL,47.31633,18.41526,23.67
"Ed Davis",3800,BKN,PF/C,DAL,32.79843,12.2766,16.59
"Shabazz Napier",3200,BKN,PG/SG,DAL,11.55422,4.71648,5.78
"DeMarre Carroll",3800,BKN,SF/PF,DAL,31.44582,12.69621,15.93
"Nikola Jokic",9700,DEN,C,MIN,71.91968,18.536,46.34
"Paul Millsap",5900,DEN,PF/C,MIN,46.43144,17.66172,27.77
"Reggie Bullock",4300,DET,SG/SF,HOU,40.90583,14.86891,21.77
"Reggie Jackson",5300,DET,PG/SG,HOU,41.80014,13.44584,25.66
"Ante Zizic",3200,CLE,C,LAL,25.28735,12.65,12.65
"Glenn Robinson",3500,DET,SF/PF,HOU,24.06456,9.04176,14.04
"Blake Griffin",9500,DET,PF/C,HOU,64.11792,19.8214,43.09
"Ish Smith",3700,DET,PG,HOU,30.43,11.322,17
"Andre Drummond",9400,DET,C,HOU,66.00195,21.18075,45.55
"Andrew Harrison",3300,CLE,PG,LAL,21.17382,8.16366,10.77
"Kyle Korver",3100,CLE,SG/SF,LAL,25.96701,10.27509,12.99
"Cedi Osman",4300,CLE,SF,LAL,38.76758,11.15774,24.74
"Rodney Hood",4400,CLE,SG/SF,LAL,46.29468,15.74798,24.34
"Larry Nance",5600,CLE,PF/C,LAL,38.10867,12.79818,21.99
"Tristan Thompson",5800,CLE,C,LAL,47.52656,17.73423,29.41
