"James Ennis",4000,HOU,SG/SF,SAC,35.62892,15.21388,19.48
"James Harden",11000,HOU,PG/SG,SAC,78.86277,21.18095,58.03
"P.J. Tucker",4400,HOU,SF/PF,SAC,47.11643,19.89308,23.57
"Clint Capela",7200,HOU,C,SAC,71.8797,23.83807,40.61
"Eric Gordon",4900,HOU,SG/SF,SAC,52.27756,21.72612,29.32
"Chris Paul",8200,HOU,PG,SAC,69.34515,21.75621,44.31
"Troy Williams",3400,SAC,SG,HOU,20.51232,8.92032,11.04
"Bogdan Bogdanovic",4300,SAC,SG/SF,HOU,35.47266,16.59573,19.01
"Marvin Bagley III",4200,SAC,PF,HOU,23.23306,3.6149,19.54
"Frank Mason",3500,SAC,PG,HOU,29.9728,14.66283,17.03
"Justin Jackson",3400,SAC,SF,HOU,28.21104,12.76704,15.84
"Gary Clark",3900,HOU,SF,SAC,24.3813,3.9396,20.1
"Isaiah Hartenstein",3400,HOU,PF,SAC,8.46674,1.36808,6.98
"Fred VanVleet",3900,TOR,PG/SG,CHI,54.34068,23.74332,28.92
"Delon Wright",3200,TOR,PG/SG,CHI,38.95232,16.05576,20.12
"Lorenzo Brown",3000,TOR,PG,CHI,8.29585,4.15,4.15
"Ryan Arcidiacono",4000,CHI,PG,TOR,40.7106,13.8933,21.54
"Justin Holiday",4400,CHI,SG/SF,TOR,45.93672,16.49646,27.54
"Jonas Valanciunas",5600,TOR,C,CHI,54.11293,23.46969,27.07
"Serge Ibaka",6100,TOR,PF/C,CHI,59.75956,21.32484,35.72
"Gerald Green",3400,HOU,SG/SF,SAC,17.57121,7.12869,8.79
"Kyle Lowry",7800,TOR,PG,CHI,70.78356,22.91676,42.36
"Danny Green",3900,TOR,SG/SF,CHI,44.46888,18.5287,26.66
"Pascal Siakam",6200,TOR,PF,CHI,54.39903,17.75849,31.21
"Willie Cauley-Stein",6100,SAC,C,HOU,54.79848,20.54536,32.56
"Nemanja Bjelica",5200,SAC,SF/PF,HOU,51.8895,17.53599,26.61
"Alec Burks",3400,UTA,SG,BOS,29.2842,14.79,14.79
"Dante Exum",3200,UTA,PG/SG,BOS,28.76561,11.3681,14.39
"Royce O'Neale",3000,UTA,SF,BOS,16.2983,6.93028,9.34
"Georges Niang",3000,UTA,PF,BOS,14.6706,6.1887,7.35
"Kyrie Irving",7700,BOS,PG,UTA,59.96142,19.87548,37.22
"Jae Crowder",4500,UTA,SF/PF,BOS,46.64913,17.99424,23.43
"Rudy Gobert",7300,UTA,C,BOS,57.11274,16.89892,35.06
"Ricky Rubio",5600,UTA,PG,BOS,47.62513,15.92456,29.71
"Donovan Mitchell",7000,UTA,PG/SG,BOS,56.70606,20.35224,36.87
"Joe Ingles",5800,UTA,SG/SF,BOS,51.696,19.15624,28.72
"Derrick Favors",4700,UTA,PF/C,BOS,40.80066,16.22544,26.34
"Jaylen Brown",4500,BOS,SG/SF,UTA,37.3776,15.2256,20.8
"Gordon Hayward",5300,BOS,SG/SF,UTA,50.95552,17.53664,30.08
