"Bryn Forbes",3900,SAS,PG/SG,LAC,30.09496,10.67772,17.62
"Derrick White",4800,SAS,PG,LAC,46.79361,20.79162,24.93
"DeMar DeRozan",8800,SAS,SG/SF,LAC,68.50376,20.18107,43.03
"Dante Cunningham",3400,SAS,SF/PF,LAC,25.91274,10.094,14.42
"Rudy Gay",5600,SAS,SF/PF,LAC,47.66412,19.44656,25.06
"LaMarcus Aldridge",8200,SAS,PF/C,LAC,69.4512,26.74035,40.95
"Tyler Dorsey",3000,ATL,PG,DEN,9.4231,3.81262,4.82
"Mason Plumlee",3400,DEN,PF/C,ATL,29.38224,11.58568,14.93
"Paul Millsap",5800,DEN,PF/C,ATL,50.02483,19.20084,30.19
"Juan Hernangomez",3800,DEN,SF/PF,ATL,41.3364,14.10921,21.09
"Nikola Jokic",9600,DEN,C,ATL,71.9789,19.74855,48.05
"Trey Lyles",4400,DEN,SF/PF,ATL,37.93091,16.96963,20.47
"Malik Beasley",3100,DEN,SG,ATL,19.91004,9.96,9.96
"Monte Morris",4100,DEN,PG,ATL,40.24888,17.74808,22.96
"Davis Bertans",3500,SAS,PF/C,LAC,21.0673,8.83503,11.03
"Patty Mills",3800,SAS,PG/SG,LAC,30.41181,13.17789,16.83
"Shai Gilgeous-Alexander",5300,LAC,PG,SAS,30.43417,4.91764,25.09
"Lou Williams",6000,LAC,PG/SG,SAS,48.4352,17.03488,27.52
"Montrezl Harrell",6200,LAC,PF/C,SAS,56.93508,25.05528,32.04
"Luc Mbah a Moute",3000,LAC,SF/PF,SAS,15.3923,6.2909,7.7
"Boban Marjanovic",3600,LAC,C,SAS,5.03748,2.52,2.52
"Mike Scott",3200,LAC,SF/PF,SAS,9.45527,5.59559,4.73
"Marcin Gortat",3400,LAC,C,SAS,26.85798,9.49428,15.93
"Danilo Gallinari",5800,LAC,SF/PF,SAS,53.43176,18.22428,32.66
"Jakob Poeltl",3000,SAS,C,LAC,15.33233,6.79562,7.67
"Marco Belinelli",3500,SAS,SG/SF,LAC,27.35544,11.66676,15.96
"Patrick Beverley",4700,LAC,PG/SG,SAS,37.23728,13.85368,22.06
"Avery Bradley",3500,LAC,SG,SAS,21.62962,7.78062,12.59
"Tobias Harris",7200,LAC,SF/PF,SAS,59.81601,20.47445,38.27
"Gary Harris",6100,DEN,SG,ATL,54.11922,19.25112,32.74
"Jamal Murray",6500,DEN,PG/SG,ATL,62.78337,21.72573,36.27
"Shaun Livingston",3000,GSW,PG,HOU,24.37324,9.45642,12.41
"Jordan Bell",3600,GSW,PF,HOU,6.83936,2.97792,3.52
"Chris Paul",8000,HOU,PG,GSW,64.55625,20.25375,41.25
"James Harden",10700,HOU,PG/SG,GSW,73.44036,19.7246,54.04
"P.J. Tucker",4500,HOU,SF/PF,GSW,48.51573,20.48388,24.27
"James Ennis",3700,HOU,SG/SF,GSW,28.64214,12.23046,15.66
"Jonas Jerebko",3900,GSW,SF/PF,HOU,20.5897,7.9516,10.3
"Kevon Looney",3700,GSW,PF/C,HOU,32.40846,13.81998,17.34
"Kevin Durant",11100,GSW,SF/PF,HOU,82.156,28.16005,54.05
"Klay Thompson",7400,GSW,SG,HOU,56.41785,20.619,35.55
"Draymond Green",8100,GSW,PF/C,HOU,57.8032,17.5474,39.7
"Damian Jones",3300,GSW,C,HOU,22.40879,7.88063,11.21
"Alfonzo McKinnie",3500,GSW,PF,HOU,14.61269,7.31,7.31
"Andre Iguodala",3900,GSW,SG/SF,HOU,33.41223,10.86036,18.47
"Clint Capela",7000,HOU,C,GSW,68.6937,22.78147,38.81
"Eric Gordon",5000,HOU,PG/SG,GSW,44.48585,18.48795,24.95
"DeAndre Bembry",4000,ATL,SF,DEN,34.37874,16.55929,19.69
"Kevin Huerter",3200,ATL,SG,DEN,18.21042,3.80538,14.58
"Jeremy Lin",3900,ATL,PG/SG,DEN,40.84318,17.32606,22.27
"Vince Carter",3300,ATL,SG,DEN,27.48724,12.24292,13.96
"Alex Poythress",3000,ATL,SF,DEN,26.08695,11.6406,13.05
"Miles Plumlee",3300,ATL,C,DEN,20.42425,10.61,10.61
"Alex Len",4600,ATL,C,DEN,49.04788,17.84369,29.69
"Omari Spellman",4200,ATL,PF,DEN,22.6884,2.28928,20.44
"Gary Clark",3800,HOU,SF,GSW,15.21102,2.45784,12.54
"Gerald Green",3500,HOU,SG/SF,GSW,18.69065,7.58285,9.35
"Isaiah Hartenstein",3400,HOU,PF,GSW,10.94126,1.76792,9.02
"Trae Young",7300,ATL,PG,DEN,37.7844,3.81248,34.04
"Kent Bazemore",5500,ATL,SG/SF,DEN,49.74034,14.04364,29.38
"Quinn Cook",5700,GSW,PG,HOU,44.17218,15.64596,26.34
