"Karl-Anthony Towns",9400,MIN,C,SAS,68.99984,28.89432,50.96
"Taj Gibson",4300,MIN,PF/C,SAS,29.29872,11.94288,21.48
"Derrick Rose",6400,MIN,PG/SG,SAS,46.5673,26.06006,29.38
"Dario Saric",4700,MIN,PF,SAS,32.06136,15.37656,18.96
"Tyus Jones",3200,MIN,PG,SAS,15.74874,8.29244,8.62
"Robert Covington",6300,MIN,SF/PF,SAS,41.1894,19.3158,29.4
"Andrew Wiggins",5600,MIN,SG/SF,SAS,36.19808,15.69871,27.59
"Derrick White",3500,SAS,PG/SG,MIN,28.52861,12.79672,15.53
"Davis Bertans",3700,SAS,PF/C,MIN,15.05086,7.57746,9.46
"Jakob Poeltl",3300,SAS,C,MIN,28.46576,12.61664,14.24
"Jeff Teague",6100,MIN,PG,SAS,47.70297,17.18784,33.57
"Gorgui Dieng",3300,MIN,PF/C,SAS,16.68545,7.97858,10.87
"Ryan Arcidiacono",3900,CHI,PG,MIL,33.4536,13.6316,21.2
"Antonio Blakeney",3200,CHI,PG/SG,MIL,8.96308,4.34704,5.38
"Robin Lopez",3000,CHI,C,MIL,29.88505,14.95,14.95
"Cameron Payne",3000,CHI,PG/SG,MIL,10.92051,5.54652,6.39
"Eric Bledsoe",6900,MIL,PG/SG,CHI,52.46564,21.97156,35.96
"Malcolm Brogdon",5600,MIL,PG/SG,CHI,43.3818,20.0007,28.17
"Shaquille Harrison",3400,CHI,PG,MIL,23.56934,11.80648,14.54
"Chandler Hutchison",3000,CHI,SG/SF,MIL,14.07332,2.61479,13.69
"Zach LaVine",8100,CHI,PG/SG,MIL,56.8694,25.16015,41.45
"Justin Holiday",5400,CHI,SG/SF,MIL,39.37287,18.2307,27.21
"Jabari Parker",6600,CHI,SF/PF,MIL,48.51655,18.9162,35.03
"Wendell Carter",5000,CHI,PF/C,MIL,25.95798,5.4621,26.01
"Marco Belinelli",3600,SAS,SG/SF,MIN,24.0097,11.76979,16.79
"Patty Mills",3900,SAS,PG/SG,MIN,24.75075,12.72432,16.23
"Tomas Satoransky ",3400,WAS,PG/SG,NOP,27.82395,13.84845,18.15
"Austin Rivers",3500,WAS,PG/SG,NOP,19.08386,10.34076,12.58
"Jrue Holiday",8400,NOP,PG/SG,WAS,59.8532,20.9174,44.6
"E'Twaun Moore",5000,NOP,SG/SF,WAS,36.52998,16.29872,23.69
"Wesley Johnson",3200,NOP,SF/PF,WAS,17.8652,10.2306,11.8
"Jeff Green",4000,WAS,SF/PF,NOP,34.7942,15.9558,20.3
"Markieff Morris",5100,WAS,SF/PF,NOP,36.8667,19.15992,26.91
"Bradley Beal",8000,WAS,SG,NOP,62.47302,26.88161,39.59
"Kelly Oubre",4200,WAS,SG/SF,NOP,30.441,13.28145,20.85
"Otto Porter",5900,WAS,SF/PF,NOP,48.94223,22.80148,33.73
"Thomas Bryant ",3300,WAS,PF/C,NOP,22.8379,10.7819,13.7
"Nikola Mirotic",6900,NOP,SF/PF,WAS,62.63673,26.41509,41.73
"Anthony Davis",11400,NOP,PF/C,WAS,92.64328,33.21896,63.76
"DeMar DeRozan",8500,SAS,SG/SF,MIN,52.677,18.37842,39.02
"Rudy Gay",5900,SAS,SF/PF,MIN,36.20184,13.98198,28.02
"Dante Cunningham",3600,SAS,SF/PF,MIN,22.61791,10.45278,14.89
"LaMarcus Aldridge",8300,SAS,PF/C,MIN,54.02309,24.48097,37.49
"Bryn Forbes",4200,SAS,PG/SG,MIN,28.05692,11.81344,19.43
"Solomon Hill",3000,NOP,SF/PF,WAS,13.60404,7.13,7.13
"Julius Randle",6700,NOP,PF/C,WAS,47.48991,25.74507,34.19
"Darius Miller",3100,NOP,SF/PF,WAS,26.1536,14.86,14.86
"Frank Jackson",3000,NOP,PG/SG,WAS,6.22724,1.18384,6.04
"Ian Clark",3100,NOP,PG/SG,WAS,6.39127,3.7344,3.89
"Khris Middleton",7500,MIL,SG/SF,CHI,59.62038,26.37126,36.78
"Giannis Antetokounmpo",12000,MIL,SF/PF,CHI,72.6376,26.79656,61.04
"Deandre Ayton",7300,PHO,C,LAC,40.13988,8.03574,38.82
"TJ Warren",6500,PHO,SF/PF,LAC,44.40624,19.73232,34.08
"Richaun Holmes",3400,PHO,PF/C,LAC,29.8046,12.215,17.45
