"Dennis Smith Jr.",5600,DAL,PG,CHI,49.50534,16.88862,30.54
"Dorian Finney-Smith",3800,DAL,SF,CHI,30.90112,11.00488,18.22
"Harrison Barnes",5000,DAL,SF/PF,CHI,48.80744,18.81968,32.56
"Luka Doncic",7600,DAL,PG/SF,CHI,44.76126,7.61346,36.78
"Kenneth Faried",3100,BKN,PF/C,MIN,17.63118,7.91154,8.82
"Jeff Teague",4500,MIN,PG,BKN,33.9,25.425,28.25
"Tyus Jones",4000,MIN,PG,BKN,30.96451,14.90138,15.49
"Gorgui Dieng",3500,MIN,PF/C,BKN,25.28298,10.43832,14.26
"Anthony Tolliver",3300,MIN,SF/PF,BKN,28.7856,14.4,14.4
"James Nunnally",3000,MIN,SG/SF,BKN,8.70426,1.31949,7.29
"DeAndre Jordan",7000,DAL,C,CHI,62.10963,25.58457,42.57
"J.J. Barea",4000,DAL,PG/SG,CHI,45.47928,18.59232,25.68
"Justin Holiday",5000,CHI,SG/SF,DAL,45.82656,17.18496,27.54
"Jabari Parker",5800,CHI,SF/PF,DAL,57.0044,18.23454,34.34
"Wendell Carter",6400,CHI,C,DAL,46.764,14.652,36
"Cameron Payne",3700,CHI,PG/SG,DAL,7.51624,3.25992,3.76
"Zach LaVine",8300,CHI,PG/SG,DAL,70.9156,25.8664,43.4
"Ryan Arcidiacono",3700,CHI,PG,DAL,43.89,14.7288,22.8
"Maxi Kleber",3300,DAL,PF,CHI,29.47698,12.53304,15.21
"Dwight Powell",3300,DAL,PF/C,CHI,28.44095,12.3156,15.55
"Devin Harris",3200,DAL,PG/SG,CHI,24.84757,12.43,12.43
"Jalen Brunson",3100,DAL,PG,CHI,10.86746,1.6909,9.14
"Karl-Anthony Towns",8900,MIN,C,BKN,84.20074,30.20821,53.09
"Taj Gibson",5400,MIN,PF,BKN,35.69881,12.40439,22.27
"MarShon Brooks",3300,MEM,SG,UTA,30.30904,11.73307,16.69
"Ivan Rabb",3000,MEM,PF,UTA,13.84432,6.43712,7.52
"D'Angelo Russell",6000,BKN,PG/SG,MIN,47.23132,14.37726,28.87
"Caris LeVert",6400,BKN,SF,MIN,52.91546,16.9104,35.23
"Wayne Selden",3000,MEM,SG,UTA,30.68465,15.35,15.35
"Shelvin Mack",3900,MEM,PG,UTA,40.36062,18.21506,22.46
"Garrett Temple",4100,MEM,SG/SF,UTA,40.2996,15.3786,21.3
"Kyle Anderson",4000,MEM,PG/SF,UTA,41.65395,14.47095,26.65
"Jaren Jackson",5300,MEM,PF,UTA,46.38318,10.63962,34.77
"Marc Gasol",7100,MEM,C,UTA,68.93544,25.86188,44.36
"Joe Harris",4500,BKN,SG/SF,MIN,35.89368,13.86612,20.82
"Jared Dudley",3200,BKN,SF/PF,MIN,26.04096,10.44351,15.07
"Shabazz Napier",3300,BKN,PG/SG,MIN,21.70914,8.89434,10.86
"Derrick Rose",7500,MIN,PG/SG,BKN,40.62237,12.89104,25.99
"Josh Okogie",3900,MIN,SG,BKN,22.4779,5.1561,16.85
"Andrew Wiggins",6300,MIN,SG/SF,BKN,50.34447,18.6219,32.67
"DeMarre Carroll",3400,BKN,SF/PF,MIN,26.37752,10.5456,13.52
"Ed Davis",3700,BKN,PF/C,MIN,46.3788,17.2926,23.4
"Spencer Dinwiddie",4800,BKN,PG/SG,MIN,43.43295,16.67921,23.93
"Rondae Hollis-Jefferson",4200,BKN,PF/C,MIN,63.26835,23.9274,31.65
"Allen Crabbe",3600,BKN,SG/SF,MIN,38.22088,18.43168,19.12
"Chandler Hutchison",3300,CHI,SG,DAL,22.74375,3.675,18.75
"Cristiano Felicio",3100,CHI,C,DAL,23.48825,10.1285,11.75
"Alfonzo McKinnie",3800,GSW,PF,LAC,26.34682,13.18,13.18
"Kevon Looney",3800,GSW,PF/C,LAC,28.61439,12.20207,15.31
