"Enes Kanter",6500,NYK,C,NOP,53.72544,23.95776,32.64
"Allonzo Trier",4200,NYK,PG,NOP,23.28062,3.6223,19.58
"Frank Ntilikina",3700,NYK,PG,NOP,26.60192,12.27239,14.09
"Mitchell Robinson",3800,NYK,C,NOP,22.42931,3.81501,18.43
"Noah Vonleh",4600,NYK,PF/C,NOP,31.75578,12.77262,19.53
"Emmanuel Mudiay",4000,NYK,PG,NOP,33.4274,13.11415,21.05
"Tim Hardaway Jr.",6700,NYK,SG/SF,NOP,67.6551,25.10263,36.97
"Kevin Knox",4300,NYK,SF,NOP,29.36621,4.99491,24.13
"Damyean Dotson",3900,NYK,SG,NOP,33.52323,14.12034,16.77
"Mario Hezonja",3600,NYK,SF/PF,NOP,36.64167,16.24038,18.33
"Julius Randle",6700,NOP,PF/C,NYK,50.22185,23.05015,30.53
"Ian Clark",3200,NOP,PG/SG,NYK,12.54928,6.56,6.56
"Darius Miller",3300,NOP,SF/PF,NYK,21.26936,10.64,10.64
"Anthony Davis",11400,NOP,PF/C,NYK,102.47942,31.35654,60.07
"Nikola Mirotic",7400,NOP,SF/PF,NYK,70.39276,24.75306,39.86
"Elfrid Payton",5600,NOP,PG,NYK,45.13298,14.53576,27.74
"Jrue Holiday",8300,NOP,PG/SG,NYK,64.48676,18.94756,40.66
"E'Twaun Moore",5200,NOP,SG/SF,NYK,41.8655,15.80566,22.94
"Wade Baldwin",3000,POR,PG,MIN,22.88855,11.45,11.45
"Gorgui Dieng",3200,MIN,PF/C,POR,21.24054,8.76936,11.98
"Evan Turner",4400,POR,SG/SF,MIN,39.89394,18.79488,22.59
"Zach Collins",3600,POR,PF,MIN,31.4798,13.5761,17.45
"Nik Stauskas",3000,POR,SG/SF,MIN,22.27225,9.04774,11.57
"Jusuf Nurkic",7100,POR,C,MIN,61.58145,22.05255,39.45
"Al-Farouq Aminu",4900,POR,SF/PF,MIN,46.39119,19.2975,25.73
"Damian Lillard",9100,POR,PG,MIN,69.13146,22.44348,46.18
"C.J. McCollum",6500,POR,PG/SG,MIN,51.59483,18.34555,32.47
"Jake Layman",3200,POR,PF,MIN,24.11572,10.32568,13.48
"Meyers Leonard",3200,POR,C,MIN,31.02448,12.61776,15.52
"Jeff Teague",5900,MIN,PG,POR,54.09738,16.4322,32.22
"Derrick Rose",7000,MIN,PG/SG,POR,60.96153,29.27736,32.97
"Josh Okogie",3800,MIN,SG,POR,3.48648,0.52852,2.92
"Tyus Jones",3500,MIN,PG,POR,9.29535,4.4733,4.65
"Dario Saric",4300,MIN,PF,POR,38.2356,15.7122,19.35
"Karl-Anthony Towns",9600,MIN,C,POR,80.3309,28.81985,50.65
"Andrew Wiggins",6100,MIN,SG/SF,POR,49.58938,18.3426,32.18
"Robert Covington",5300,MIN,SF/PF,POR,48.57003,19.37493,29.49
"Taj Gibson",4600,MIN,PF,POR,37.38196,12.98924,23.32
"Wesley Johnson",3500,NOP,SF/PF,NYK,24.1879,12.1,12.1
"De'Aaron Fox",6800,SAC,PG,MEM,54.6085,18.88575,37.25
"Chandler Hutchison",3300,CHI,SG,MIL,16.03134,2.53266,13.26
"Antonio Blakeney",3200,CHI,PG,MIL,30.2428,12.46744,15.43
"Robin Lopez",3000,CHI,C,MIL,33.983,17,17
"Wendell Carter",5300,CHI,C,MIL,35.61916,6.3714,30.34
"Jabari Parker",5700,CHI,SF/PF,MIL,50.38497,16.7022,30.93
"Ryan Arcidiacono",4100,CHI,PG,MIL,38.56768,13.36154,20.78
"Zach LaVine",7800,CHI,PG/SG,MIL,64.8021,24.37105,40.15
"Justin Holiday",4500,CHI,SG/SF,MIL,40.41219,15.8991,23.73
"Shaquille Harrison",3500,CHI,PG,MIL,27.70871,11.79836,14.53
"Eric Bledsoe",6800,MIL,PG/SG,CHI,57.41648,20.43184,33.44
"Pat Connaughton",3600,MIL,SG/SF,CHI,41.39929,15.9467,20.71
"Tony Snell",3000,MIL,SG/SF,CHI,21.96901,9.91298,10.99
"Thon Maker",3000,MIL,PF/C,CHI,20.24987,8.2053,10.13
"Ersan Ilyasova",3900,MIL,PF/C,CHI,36.0459,13.76298,19.86
"Brook Lopez",5400,MIL,C,CHI,43.86025,16.40744,24.71
"Malcolm Brogdon",5000,MIL,PG/SG,CHI,50.1924,19.667,27.7
"Khris Middleton",6900,MIL,SG/SF,CHI,72.77112,27.36072,38.16
"Giannis Antetokounmpo",11500,MIL,SF/PF,CHI,83.09,26.05465,59.35
"Ivan Rabb",3000,MEM,PF,SAC,5.32434,2.51958,2.94
"Omri Casspi",3100,MEM,SF/PF,SAC,13.47326,5.67508,6.74
"Marvin Bagley III",4300,SAC,PF,MEM,27.07353,4.21245,22.77
"Frank Mason",3500,SAC,PG,MEM,19.8,9.68625,11.25
"Justin Jackson",3400,SAC,SF,MEM,16.13586,7.30236,9.06
"Bogdan Bogdanovic",4200,SAC,SG/SF,MEM,41.7984,19.5552,22.4
"Willie Cauley-Stein",6400,SAC,C,MEM,52.25715,19.59255,31.05
"Buddy Hield",6200,SAC,SG/SF,MEM,53.9946,20.301,30.3
"Iman Shumpert",3800,SAC,SG/SF,MEM,33.54512,14.0426,19.64
"Nemanja Bjelica",5100,SAC,SF/PF,MEM,49.0815,16.58703,25.17
"Harry Giles",3100,SAC,PF,MEM,13.38814,2.0831,11.26
"Mike Conley",7000,MEM,PG,SAC,72.0072,23.1804,41.1
"Shelvin Mack",4200,MEM,PG,SAC,42.82251,18.65889,23.83
"Wayne Selden",3100,MEM,SG,SAC,30.54472,14.69936,15.28
"MarShon Brooks",3300,MEM,SG,SAC,24.47202,9.37938,13.38
"Marc Gasol",7400,MEM,C,SAC,66.309,24.98352,42.78
"Jaren Jackson",5400,MEM,PF,SAC,34.78722,10.89946,26.78
"Garrett Temple",4000,MEM,SG/SF,SAC,47.64375,18.2952,25.41
"Kyle Anderson",4800,MEM,PG/SF,SAC,41.3224,14.23912,26.32
"Ian Mahinmi",3300,WAS,C,BKN,12.89355,5.82435,6.45
"Tomas Satoransky ",3000,WAS,PG/SG,BKN,19.39212,8.11368,10.62
"Kelly Olynyk",3900,MIA,PF/C,IND,27.61248,12.2304,15.68
"Bam Adebayo",3800,MIA,C,IND,16.2049,8.25656,9.34
"Wayne Ellington",3800,MIA,SG/SF,IND,35.66216,14.30768,17.84
"Tyler Johnson",4300,MIA,PG/SG,IND,36.19287,14.02548,19.81
"Hassan Whiteside",7900,MIA,C,IND,60.05137,19.47939,40.33
"Josh Richardson",6500,MIA,SG/SF,IND,58.49679,20.56395,33.99
"Rodney McGruder",4800,MIA,SG/SF,IND,41.12176,14.94528,22.24
"Justise Winslow",5100,MIA,PG/SF,IND,47.553,15.3532,26.2
"Derrick Jones",3000,MIA,SF,IND,9.63518,4.82,4.82
"Darren Collison",4500,IND,PG,MIA,37.04145,14.34918,23.37
"Tyreke Evans",4000,IND,SG/SF,MIA,34.01592,11.75056,21.68
"Cory Joseph",3600,IND,PG,MIA,36.28185,14.64705,18.15
"Doug McDermott",3100,IND,SF/PF,MIA,12.15392,6.08,6.08
"Domantas Sabonis",6300,IND,PF/C,MIA,61.9796,27.768,35.6
"Myles Turner",4600,IND,C,MIA,40.39495,15.76645,21.05
"Victor Oladipo",9300,IND,PG/SG,MIA,77.45914,30.43544,47.26
"Bojan Bogdanovic",4900,IND,SG/SF,MIA,43.8275,19.4345,23.5
"Thaddeus Young",4400,IND,SF/PF,MIA,34.59837,11.06982,20.73
"Goran Dragic",6200,MIA,PG,IND,48.10437,17.27505,29.53
"Amir Johnson",3100,PHI,PF/C,UTA,10.67097,4.4583,5.79
"Dante Exum",3300,UTA,PG/SG,PHI,24.90754,9.83094,12.46
"Alec Burks",3600,UTA,SG,PHI,31.679,16.04,16.04
"Royce O'Neale",3200,UTA,SF,PHI,12.32242,5.26787,7.09
"Jae Crowder",4700,UTA,SF/PF,PHI,40.97844,15.73884,20.52
"Rudy Gobert",7500,UTA,C,PHI,61.575,18.5625,37.5
"Donovan Mitchell",7200,UTA,PG/SG,PHI,55.32186,19.85544,35.97
"Joe Ingles",5900,UTA,SG/SF,PHI,54.4146,20.42076,30.57
"Derrick Favors",4500,UTA,PF/C,PHI,37.90206,14.99985,24.39
"Georges Niang",3000,UTA,PF,PHI,12.27213,5.58385,6.17
"Ben Simmons",8200,PHI,PG/SF,UTA,60.33222,16.75458,39.33
"Mike Muscala",3500,PHI,PF/C,UTA,38.08095,19.05,19.05
"Landry Shamet",3200,PHI,PG,UTA,11.90418,1.80457,9.97
"Furkan Korkmaz",3300,PHI,SG,UTA,17.57121,8.79,8.79
"Markelle Fultz",3800,PHI,PG/SG,UTA,29.07072,11.7008,16.48
"Joel Embiid",10300,PHI,C,UTA,72.52812,21.53496,50.79
"J.J. Redick",5500,PHI,SG/SF,UTA,42.87708,17.6601,27.38
"Jimmy Butler",7300,PHI,SG/SF,UTA,54.67626,18.0889,34.13
"Wilson Chandler",3700,PHI,SF/PF,UTA,29.16002,11.2472,16.54
"TJ Leaf",3000,IND,PF,MIA,6.05697,3.03,3.03
"Kyle Lowry",7600,TOR,PG,BOS,65.06297,21.0006,38.89
"Rondae Hollis-Jefferson",5600,BKN,PF/C,WAS,48.27585,18.7887,24.15
