Name,PG,SG,SF,PF,C,G,F,UTIL,Salary,Value
Last 5 Games Avg  #1,Jrue Holiday (NO),Lance Stephenson (LAL),Stanley Johnson (DET),Pascal Siakam (TOR),Cody Zeller (CHA),Devin Booker (PHO),T.J. Warren (PHO),Paul George (OKC),50000,247.5
Last 5 Games Avg  #3,Jrue Holiday (NO),Lance Stephenson (LAL),T.J. Warren (PHO),Pascal Siakam (TOR),Cody Zeller (CHA),Ben Simmons (PHI),Dorian Finney-Smith (DAL),Paul George (OKC),50000,249
Last 5 Games Avg  #4,Jrue Holiday (NO),Lance Stephenson (LAL),T.J. Warren (PHO),Pascal Siakam (TOR),Cody Zeller (CHA),Shaquille Harrison (CHI),Paul George (OKC),Devin Booker (PHO),50000,248.6
Last 5 Games Avg  #8,Jrue Holiday (NO),Lance Stephenson (LAL),T.J. Warren (PHO),Pascal Siakam (TOR),Cody Zeller (CHA),Ben Simmons (PHI),Paul George (OKC),Shaquille Harrison (CHI),49900,249.6
Last 5 Games Avg  #2,Jrue Holiday (NO),Lance Stephenson (LAL),Stanley Johnson (DET),Pascal Siakam (TOR),Cody Zeller (CHA),Ben Simmons (PHI),T.J. Warren (PHO),Paul George (OKC),49900,248.5
