,Name,SG,PG,G,SF,PF,F,C,UTIL,Points,Salary
0,rg_proj_1,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Draymond Green,Eric Gordon,DeMarcus Cousins,Kevin Durant,312.89000000000004,50000
1,rg_proj_2,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Draymond Green,Eric Gordon,DeMarcus Cousins,Kevin Durant,312.89000000000004,49900
2,rg_proj_3,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Kevin Love,Cedi Osman,DeMarcus Cousins,Devin Booker,312.47,49800
3,rg_proj_4,Austin Rivers,Dwyane Wade,Devin Booker,Jimmy Butler,Cedi Osman,Draymond Green,DeMarcus Cousins,Kevin Durant,311.61000000000007,49700
4,rg_proj_5,Austin Rivers,Dwyane Wade,Devin Booker,Jimmy Butler,Cedi Osman,Draymond Green,DeMarcus Cousins,Kevin Durant,311.61000000000007,49600
5,rg_proj_6,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Cedi Osman,Kevin Durant,DeMarcus Cousins,Willie Cauley-Stein,310.44000000000005,49500
6,rg_proj_7,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Cedi Osman,Kevin Durant,DeMarcus Cousins,Willie Cauley-Stein,310.44000000000005,49400
7,rg_proj_8,Dwyane Wade,Damian Lillard,Eric Gordon,Jimmy Butler,Cedi Osman,Draymond Green,DeMarcus Cousins,Devin Booker,309.9100000000001,49300
8,rg_proj_9,Austin Rivers,Dwyane Wade,Damian Lillard,Jimmy Butler,Kevin Love,Eric Gordon,DeMarcus Cousins,Devin Booker,309.84000000000003,49200
9,rg_proj_10,Austin Rivers,Dwyane Wade,Devin Booker,Jimmy Butler,Cedi Osman,Draymond Green,DeMarcus Cousins,Damian Lillard,309.82000000000005,49100
