Name,PG,SG,SF,PF,C,G,F,UTIL,Salary,Value
RotoQL NBA  #1,John Wall (WAS),Jonathon Simmons (ORL),Tobias Harris (LAC),Jonathan Isaac (ORL),Nikola Vucevic (ORL),Josh Richardson (MIA),Pascal Siakam (TOR),Al-Farouq Aminu (POR),49900,248.6
RotoQL NBA  #3,John Wall (WAS),Jonathon Simmons (ORL),Tobias Harris (LAC),Jonathan Isaac (ORL),Hassan Whiteside (MIA),Josh Richardson (MIA),Pascal Siakam (TOR),Al-Farouq Aminu (POR),49600,243.8
RotoQL NBA  #4,Austin Rivers (WAS),Josh Richardson (MIA),Tobias Harris (LAC),Jonathan Isaac (ORL),Nikola Vucevic (ORL),John Wall (WAS),Pascal Siakam (TOR),Al-Farouq Aminu (POR),49900,245.9
RotoQL NBA  #7,John Wall (WAS),Nik Stauskas (POR),Al-Farouq Aminu (POR),Jonathan Isaac (ORL),Nikola Vucevic (ORL),Josh Richardson (MIA),Pascal Siakam (TOR),Hassan Whiteside (MIA),50000,247.2
RotoQL NBA  #2,Delon Wright (TOR),Josh Richardson (MIA),Tobias Harris (LAC),Jonathan Isaac (ORL),Hassan Whiteside (MIA),John Wall (WAS),Pascal Siakam (TOR),Al-Farouq Aminu (POR),49900,240
