Name,PG,SG,SF,PF,C,G,F,UTIL,Salary,Value
RotoQL NBA  #1,Jrue Holiday (NO),Rodney Hood (CLE),Markieff Morris (WAS),Al Horford (BOS),Cody Zeller (CHA),Kyrie Irving (BOS),Nikola Mirotic (NO),Clint Capela (HOU),49800,258.7
RotoQL NBA  #3,Jrue Holiday (NO),Rodney Hood (CLE),Jeremy Lamb (CHA),Al Horford (BOS),Cody Zeller (CHA),Kyrie Irving (BOS),Gordon Hayward (BOS),Clint Capela (HOU),49600,250.1
RotoQL NBA  #2,Zach LaVine (CHI),Jrue Holiday (NO),Marvin Williams (CHA),Al Horford (BOS),Cody Zeller (CHA),Kyrie Irving (BOS),Rodney Hood (CLE),Clint Capela (HOU),49900,258.3
RotoQL NBA  #4,Jrue Holiday (NO),Rodney Hood (CLE),Jeremy Lamb (CHA),Al Horford (BOS),Cody Zeller (CHA),Kyrie Irving (BOS),Otto Porter Jr. (WAS),Clint Capela (HOU),49800,251.2
RotoQL NBA  #6,Jrue Holiday (NO),Rodney Hood (CLE),Jeremy Lamb (CHA),Al Horford (BOS),Cody Zeller (CHA),Kyrie Irving (BOS),Andrew Wiggins (MIN),Clint Capela (HOU),49900,252.8
