Name,PG,SG,SF,PF,C,G,F,UTIL,Salary,Value
RotoQL NBA  #1,Trae Young (ATL),Nicolas Batum (CHA),Wilson Chandler (PHI),Marvin Bagley III (SAC),Joel Embiid (PHI),Kyle Lowry (TOR),Bogdan Bogdanovic (SAC),Jusuf Nurkic (POR),50000,248
RotoQL NBA  #2,Kyle Lowry (TOR),Nicolas Batum (CHA),Buddy Hield (SAC),Marvin Bagley III (SAC),Joel Embiid (PHI),Bogdan Bogdanovic (SAC),Al-Farouq Aminu (POR),Jusuf Nurkic (POR),49700,259
RotoQL NBA  #3,Trae Young (ATL),Nicolas Batum (CHA),Wilson Chandler (PHI),Marvin Bagley III (SAC),Joel Embiid (PHI),Kyle Lowry (TOR),Al-Farouq Aminu (POR),Jusuf Nurkic (POR),49900,248.8
RotoQL NBA  #10,Kyle Lowry (TOR),Nicolas Batum (CHA),Buddy Hield (SAC),Dewayne Dedmon (ATL),Joel Embiid (PHI),Bogdan Bogdanovic (SAC),Marvin Bagley III (SAC),Jusuf Nurkic (POR),49800,257.9
RotoQL NBA  #4,Kyle Lowry (TOR),Nicolas Batum (CHA),Nemanja Bjelica (SAC),Al-Farouq Aminu (POR),Joel Embiid (PHI),Jeremy Lamb (CHA),Bogdan Bogdanovic (SAC),Jusuf Nurkic (POR),49900,253.9
