name,points,position,salary
James Harden,53.12,PG/SG,11600.00
Justise Winslow,23.44,PG/SF,5200.00
Ante Zizic,19.83,C,4400.00
Joel Embiid,46.33,C,10300.00
Nikola Mirotic,26.07,PF/C,5900.00
Allen Crabbe,18.48,SG/SF,4200.00
Kevon Looney,17.52,PF/C,4000.00
Bogdan Bogdanovic,19.33,SG/SF,4500.00
De'Aaron Fox,30.35,PG,7100.00
Buddy Hield,27.26,SG/SF,6400.00
Kyrie Irving,38.26,PG,9200.00
Kelly Oubre,24.09,SG/SF,5800.00
Mikal Bridges,19.01,SG/SF,4600.00
Nene Hilario,12.99,C,3200.00
Seth Curry,12.97,PG/SG,3200.00
Richaun Holmes,14.4,PF/C,3600.00
Boban Marjanovic,13.96,C,3500.00
James Ennis,12.16,SF/PF,3100.00
Rajon Rondo,22.31,PG,5800.00
D'Angelo Russell,31.37,PG/SG,8200.00
Alec Burks,13.72,PG/SG,3600.00
T.J. McConnell,13.89,PG/SG,3700.00
Kenneth Faried,22.84,PF/C,6300.00
Collin Sexton,17.14,PG,4900.00
Jonas Jerebko,11.49,SF/PF,3300.00
Matthew Dellavedova,11.68,PG/SG,3400.00
Lance Stephenson,12.31,PG/SF,3600.00
Terry Rozier,20.42,PG/SG,6000.00
Kentavious Caldwell-Pope,13.24,SG/SF,3900.00
Tyson Chandler,10.5,C,3200.00
Larry Nance,22.69,PF/C,7200.00
Marvin Bagley III,18.24,PF/C,5800.00
Marquese Chriss,13.07,PF/C,4500.00
Treveon Graham,9.57,SF/PF,3300.00
Quinn Cook,9.07,PG,3200.00
Jordan Bell,8.71,PF/C,3100.00
Jamal Crawford,9.45,PG/SG,3400.00
Brandon Knight,8.86,PG/SG,3200.00
Mike Scott,8.23,SF/PF,3200.00
Tony Snell,7.98,SG/SF,3200.00
Shabazz Napier,9.75,PG/SG,4100.00
Daniel Theis,8.05,PF/C,3700.00
Elie Okobo,7.04,PG,3300.00
Mike Muscala,6.5,PF/C,3200.00
Jake Layman,8.81,SF/PF,4500.00
Brad Wanamaker,5.27,PG/SG,3200.00
Semi Ojeleye,4.68,SF/PF,3000.00
Sterling Brown,4.73,SG/SF,3200.00
D.J. Wilson,3.42,PF/C,3300.00
