name,points,position,salary
De'Anthony Melton,27.07,PG,3500.00
Dwyane Wade,32.67,PG/SG,4300.00
Austin Rivers,30.06,PG/SG,4000.00
Kelly Olynyk,26.74,PF/C,3700.00
DeMarcus Cousins,43.81,C,6100.00
Eric Gordon,30.15,SG/SF,4400.00
Nemanja Bjelica,25.65,PF,3800.00
Maurice Harkless,21.21,SF/PF,3200.00
Cedi Osman,32.78,SF/PF,5000.00
Al-Farouq Aminu,26.64,SF/PF,4100.00
Yogi Ferrell,20.63,PG/SG,3200.00
Bam Adebayo,22.49,PF/C,3500.00
Rodney McGruder,20.57,SG/SF,3200.00
Jonathon Simmons,19.26,SG/SF,3000.00
Willie Cauley-Stein,31.35,C,4900.00
Rodney Hood,23.66,SG/SF,3700.00
Nik Stauskas,18.69,SG/SF,3000.00
Brook Lopez,27.9,C,4500.00
P.J. Tucker,23.82,SF/PF,3900.00
Draymond Green,36.43,PF/C,6000.00
Caris LeVert,30.9,PG/SF,5100.00
Jimmy Butler,42.96,SG/SF,7200.00
Reggie Bullock,24.34,SG/SF,4100.00
David Nwaba,22.26,SG/SF,3800.00
Harrison Barnes,27.52,SF/PF,4700.00
Khris Middleton,36.19,SG/SF,6200.00
Jarrett Allen,27.85,C,4900.00
James Johnson,20.94,PF/C,3700.00
Devin Booker,43.6,PG/SG,7700.00
Kevin Love,39.08,PF/C,6900.00
Marcus Morris,27.03,SF/PF,4800.00
Malcolm Brogdon,27.92,PG/SG,5000.00
Marcus Smart,24.51,PG/SG,4400.00
Chris Paul,42.25,PG,7600.00
Damian Lillard,47.51,PG,8600.00
Hassan Whiteside,36.97,C,6700.00
Al Horford,33.05,PF/C,6000.00
Ed Davis,18.7,C,3400.00
TJ Warren,30.17,SF/PF,5500.00
Evan Turner,18.51,SG/SF,3400.00
Zach Collins,17.31,PF/C,3200.00
Andre Iguodala,19.36,SG/SF,3600.00
C.J. McCollum,35.34,PG/SG,6600.00
Rodions Kurucs,17.02,SF/PF,3200.00
Kevin Durant,49.3,SF/PF,9300.00
Joe Harris,22.71,SG/SF,4300.00
Jayson Tatum,31.11,SF/PF,5900.00
J.J. Redick,27.85,SG/SF,5300.00
George Hill,17.3,PG/SG,3300.00
Kyle Kuzma,30.77,SF/PF,5900.00
Deandre Ayton,36.45,C,7000.00
Tobias Harris,34.2,SF/PF,6600.00
JaVale McGee,26.89,C,5200.00
Josh Hart,16.53,SG/SF,3200.00
Klay Thompson,33.18,SG,6500.00
Iman Shumpert,17.83,SG/SF,3500.00
Gerald Green,19.12,SG/SF,3800.00
Harry Giles,15.97,PF/C,3200.00
Dion Waiters,22.74,SG/SF,4600.00
Tyler Johnson,20.63,PG/SG,4200.00
LeBron James,52.05,SF/PF,10600.00
Josh Jackson,28.58,SF/PF,5900.00
Ersan Ilyasova,15.86,PF/C,3300.00
Giannis Antetokounmpo,51.97,SF/PF,10800.00
Brandon Ingram,26.92,PG/SG,5600.00
Eric Bledsoe,32.7,PG,6800.00
DeMarre Carroll,19.65,SF/PF,4100.00
Gordon Hayward,21.97,SF/PF,4600.00
Jordan Clarkson,27.27,PG/SG,5700.00
Josh Richardson,29.4,SG/SF,6200.00
Jusuf Nurkic,34.89,C,7400.00
Ben Simmons,36.96,PG/SF,7900.00
Jaylen Brown,21.81,SG/SF,4700.00
Rondae Hollis-Jefferson,19.49,PF/C,4200.00
Stephen Curry,41.4,PG/SG,9000.00
